endpoint,repeat,fold,n_fit,n_val,n_test,selected_view,selected_block,selected_backend,selected_val_r2,n_features
LOG_Caco_Efflux,2,2,1623,538,1616,chem,wide_chem,xgb,0.5230779371114338,2048
LOG_Caco_Efflux,2,3,1810,351,1616,chem,core_maccs_fcfp,xgb,0.4482739396370583,2048
LOG_Caco_Efflux,2,4,1817,344,1616,kpgt,wide_chem,xgb,0.45472837612873074,2048
LOG_Caco_Efflux,3,0,1677,484,1616,chem,wide_chem,xgb,0.5794113284876754,2048
LOG_Caco_Efflux,3,1,1859,302,1616,kpgt,core_maccs_fcfp,xgb,0.40518766321066,2048
LOG_Caco_Efflux,3,2,1601,560,1616,chem,wide_chem,xgb,0.4918546873326426,2048
LOG_Caco_Efflux,3,3,1805,356,1616,chem,core_pair_torsion,xgb,0.5553063611321756,2048
LOG_Caco_Efflux,3,4,1702,459,1616,fused,wide_chem,xgb,0.453553150780444,2048
LOG_Caco_Efflux,4,0,1767,394,1616,chem,wide_chem,xgb,0.42065691668565186,2048
LOG_Caco_Efflux,4,1,1771,390,1616,chem,wide_chem,xgb,0.5687070285103347,2048
LOG_Caco_Efflux,4,2,1571,590,1616,chem,wide_chem,xgb,0.5692128740192299,2048
LOG_Caco_Efflux,4,3,1755,406,1616,chem,wide_chem,rf,0.5932792897368286,2048
LOG_Caco_Efflux,4,4,1780,381,1616,chem,wide_chem,xgb,0.46796927364749663,2048
LOG_MPPB,0,0,1103,199,454,chem,core_maccs_fcfp,xgb,0.6441431881264106,2048
LOG_MPPB,0,1,1089,213,454,chem,core_pair_torsion,xgb,0.7526074957480324,2048
LOG_MPPB,0,2,955,347,454,chem,wide_chem,xgb,0.6541991040318784,2048
LOG_MPPB,0,3,1033,269,454,kpgt,core_maccs_fcfp,ridge,0.6104135162013332,2048
LOG_MPPB,0,4,1028,274,454,chem,wide_chem,xgb,0.6113812554906878,2048
LOG_MPPB,1,0,1009,293,454,chem,core_maccs_fcfp,xgb,0.6343036468102725,2048
LOG_MPPB,1,1,1044,258,454,chem,wide_chem,xgb,0.6152516953923112,2048
LOG_MPPB,1,2,1029,273,454,kpgt,wide_chem,xgb,0.5263823834813441,2048
LOG_MPPB,1,3,1000,302,454,chem,wide_chem,xgb,0.6783559935264566,2048
LOG_MPPB,1,4,1126,176,454,fused,wide_chem,xgb,0.7309596527308788,2048
LOG_MPPB,2,0,1099,203,454,kpgt,core_pair_torsion,ridge,0.7174936098499329,2048
LOG_MPPB,2,1,930,372,454,chem,core_pair_torsion,xgb,0.6738049791709204,2048
LOG_MPPB,2,2,917,385,454,kpgt,wide_chem,xgb,0.5425969258268004,2048
LOG_MPPB,2,3,1119,183,454,chem,wide_chem,xgb,0.7361577015351375,2048
LOG_MPPB,2,4,1143,159,454,chem,core_pair_torsion,xgb,0.6529920683499425,2048
LOG_MPPB,3,0,1011,291,454,chem,wide_chem,xgb,0.6514183099876996,2048
LOG_MPPB,3,1,1118,184,454,chem,core_maccs_fcfp,xgb,0.674636502188955,2048
LOG_MPPB,3,2,915,387,454,kpgt,wide_chem,xgb,0.6471474806508962,2048
LOG_MPPB,3,3,1075,227,454,chem,wide_chem,xgb,0.6808104547929801,2048
LOG_MPPB,3,4,1089,213,454,chem,wide_chem,xgb,0.5981808755631175,2048
LOG_MPPB,4,0,1036,266,454,kpgt,core_maccs_fcfp,xgb,0.6664638477794373,2048
LOG_MPPB,4,1,1027,275,454,chem,core_pair_torsion,xgb,0.6547323847675508,2048
LOG_MPPB,4,2,1021,281,454,chem,wide_chem,xgb,0.6534383741516772,2048
LOG_MPPB,4,3,1059,243,454,kpgt,core_pair_torsion,ridge,0.666778056756733,2048
LOG_MPPB,4,4,1065,237,454,kpgt,wide_chem,ridge,0.6566028174113905,2048
LOG_MBPB,0,0,819,156,451,kpgt,wide_chem,ridge,0.6891373996947956,2048
LOG_MBPB,0,1,828,147,451,chem,core_maccs_fcfp,xgb,0.7052669663228512,2048
LOG_MBPB,0,2,717,258,451,fused,core_maccs_fcfp,ridge,0.7542544102885885,2048
LOG_MBPB,0,3,773,202,451,kpgt,wide_chem,ridge,0.7587785302358742,2048
LOG_MBPB,0,4,763,212,451,kpgt,core_maccs_fcfp,ridge,0.7529745098184778,2048
LOG_MBPB,1,0,847,128,451,kpgt,core_pair_torsion,ridge,0.7369151451890745,2048
LOG_MBPB,1,1,775,200,451,chem,core_pair_torsion,xgb,0.7415741851626028,2048
LOG_MBPB,1,2,737,238,451,kpgt,core_maccs_fcfp,ridge,0.7116054025756725,2048
LOG_MBPB,1,3,706,269,451,chem,wide_chem,xgb,0.6925802987489167,2048
LOG_MBPB,1,4,835,140,451,kpgt,wide_chem,xgb,0.7832024129198141,2048
LOG_MBPB,2,0,785,190,451,chem,wide_chem,xgb,0.6889331405355532,2048
LOG_MBPB,2,1,751,224,451,kpgt,wide_chem,ridge,0.6941787884006454,2048
LOG_MBPB,2,2,643,332,451,kpgt,core_pair_torsion,ridge,0.727900920560397,2048
LOG_MBPB,2,3,838,137,451,kpgt,core_maccs_fcfp,ridge,0.7599314453701755,2048
LOG_MBPB,2,4,883,92,451,chem,core_pair_torsion,xgb,0.7663746287823634,2048
LOG_MBPB,3,0,710,265,451,kpgt,core_maccs_fcfp,ridge,0.7885314726737979,2048
LOG_MBPB,3,1,830,145,451,kpgt,core_maccs_fcfp,ridge,0.7349712617546562,2048
LOG_MBPB,3,2,719,256,451,kpgt,wide_chem,ridge,0.7722563477317996,2048
LOG_MBPB,3,3,817,158,451,kpgt,core_maccs_fcfp,ridge,0.7242533021352904,2048
LOG_MBPB,3,4,824,151,451,chem,core_pair_torsion,xgb,0.6637712139134129,2048
LOG_MBPB,4,0,842,133,451,kpgt,core_pair_torsion,ridge,0.7793244291121567,2048
LOG_MBPB,4,1,815,160,451,chem,core_pair_torsion,xgb,0.7541956431763028,2048
LOG_MBPB,4,2,706,269,451,chem,wide_chem,xgb,0.6880516328964377,2048
LOG_MBPB,4,3,776,199,451,kpgt,core_maccs_fcfp,ridge,0.7540294691041947,2048
LOG_MBPB,4,4,761,214,451,kpgt,core_maccs_fcfp,ridge,0.7840018731447977,2048
LOG_MGMB,0,0,188,34,209,kpgt,core_maccs_fcfp,ridge,0.8067677168928293,2048
LOG_MGMB,0,1,198,24,209,chem,wide_chem,xgb,0.6132775133751117,2048
LOG_MGMB,0,2,131,91,209,chem,core_pair_torsion,xgb,0.5365956646000135,2048
