split,metric,test,left,right,n_folds,mean_diff,sd_diff,right_wins,p_raw,p_holm
diverse_25,mae,t_target,pub_xgboost,pub_gnn,10,0.11852384781801213,0.06131382170213788,1.0,0.00017646249002296562,0.00847019952110235
diverse_25,mae,t_target,pub_mlp,pub_gnn,10,0.11190462946891784,0.050134990708381476,1.0,5.930918075992839e-05,0.003024768218756348
umap,mae,t,knn,lgbm,50,-0.0592582394905636,0.08761999099379705,0.3,1.6255533922974476e-05,0.0007477545604568259
umap,mae,t,knn,chemeleon,50,-0.08521332865515908,0.13726323823290673,0.26,6.039256929048631e-05,0.0026572730487813977
umap,mae,t,knn,monroe35,50,-0.11624783905674439,0.09217265976750266,0.04,7.814185164648146e-12,4.2978018405564805e-10
umap,mae,t,knn,median,50,0.005220830512589305,0.15246329807067815,0.36,0.8096853973409497,1.0
umap,mae,t,knn,pub_knn,50,-7.594413986566906e-11,7.906167943229721e-10,0.5,1.0,1.0
umap,mae,t,knn,pub_svm,50,-0.07800810286506382,0.09721910980418808,0.14,7.415023091889926e-07,3.781661776863862e-05
umap,mae,t,knn,pub_rf,50,-0.059924836463723936,0.1439786033220731,0.28,0.004955108808604326,0.15360837306673408
umap,mae,t,knn,pub_xgboost,50,-0.04913192849546551,0.0878106717123461,0.3,0.0002451434748157751,0.009805738992631003
umap,mae,t,knn,pub_mlp,50,-0.03403929288866905,0.12462971773074916,0.38,0.05924432725565926,1.0
umap,mae,t,knn,pub_gnn,50,0.03032549445149514,0.17671711308079374,0.54,0.23078285951478014,1.0
umap,mae,t,lgbm,chemeleon,50,-0.025955089164595494,0.12398813670486733,0.34,0.14521498707826433,1.0
umap,mae,t,lgbm,monroe35,50,-0.05698959956618081,0.0781972628986106,0.26,4.562659840589108e-06,0.00022357033218886631
umap,mae,t,lgbm,median,50,0.0644790700031529,0.1557388562792113,0.62,0.005169021551337086,0.15360837306673408
umap,mae,t,lgbm,pub_knn,50,0.05925823941461946,0.08761999107957112,0.7,1.625553451838027e-05,0.0007477545604568259
umap,mae,t,lgbm,pub_svm,50,-0.01874986337450022,0.06993464806217559,0.36,0.06389309499722375,1.0
umap,mae,t,lgbm,pub_rf,50,-0.0006665969731603439,0.15560961923948144,0.42,0.9759581124153621,1.0
umap,mae,t,lgbm,pub_xgboost,50,0.010126310995098087,0.0668157927737776,0.52,0.28912268992475304,1.0
umap,mae,t,lgbm,pub_mlp,50,0.025218946601894558,0.10035963258687959,0.58,0.08179939760648669,1.0
umap,mae,t,lgbm,pub_gnn,50,0.08958373394205874,0.18240279692726022,0.72,0.0010860728489485983,0.039098622562149535
umap,mae,t,chemeleon,monroe35,50,-0.031034510401585315,0.12198707857814099,0.42,0.07818887760977114,1.0
umap,mae,t,chemeleon,median,50,0.09043415916774838,0.20674493619426257,0.68,0.0032677061892018833,0.10783430424366215
umap,mae,t,chemeleon,pub_knn,50,0.08521332857921493,0.1372632382932875,0.74,6.039257045345652e-05,0.0026572730487813977
umap,mae,t,chemeleon,pub_svm,50,0.007205225790095272,0.10601659414525685,0.5,0.6329592462815085,1.0
umap,mae,t,chemeleon,pub_rf,50,0.02528849219143515,0.1749608918961876,0.54,0.3117825970084287,1.0
umap,mae,t,chemeleon,pub_xgboost,50,0.03608140015969357,0.12745033844607354,0.54,0.05085514030816451,1.0
umap,mae,t,chemeleon,pub_mlp,50,0.051174035766490045,0.1117932196214826,0.7,0.0021699648793997556,0.07594877077899145
umap,mae,t,chemeleon,pub_gnn,50,0.11553882310665424,0.2059185603744998,0.82,0.00023667979664693736,0.009703871662524432
umap,mae,t,monroe35,median,50,0.12146866956933369,0.14535073550954047,0.84,3.2283436369434804e-07,1.7110221275800445e-05
umap,mae,t,monroe35,pub_knn,50,0.11624783898080025,0.09217265981467988,0.96,7.814185443957453e-12,4.2978018405564805e-10
umap,mae,t,monroe35,pub_svm,50,0.038239736191680584,0.08518456628340837,0.6,0.002596297938574513,0.08827412991153344
