bin,n,mean_sigma,mean_abs_error,endpoint,method
0,147,0.027439713445796182,0.33867064660846946,LOG_MLM,chemprop_st
1,146,0.0423049313562021,0.3471740666990082,LOG_MLM,chemprop_st
2,146,0.052954769583032545,0.4183811752858908,LOG_MLM,chemprop_st
3,146,0.06252099639506396,0.41346971525851,LOG_MLM,chemprop_st
4,146,0.07268858619258493,0.4184881033153744,LOG_MLM,chemprop_st
5,146,0.08523389071583631,0.4889695519029194,LOG_MLM,chemprop_st
6,146,0.10042400618424228,0.4402375744665056,LOG_MLM,chemprop_st
7,147,0.13107220361564265,0.42097972183444266,LOG_MLM,chemprop_st
0,147,0.04331270272221413,0.2886996698257718,LOG_MLM,fus_GRMS_early_attfp
1,146,0.07201853193400536,0.39478443912223155,LOG_MLM,fus_GRMS_early_attfp
2,146,0.09261860278890108,0.40139793772505356,LOG_MLM,fus_GRMS_early_attfp
3,146,0.1128425151425119,0.39662612977651535,LOG_MLM,fus_GRMS_early_attfp
4,146,0.13261169505034426,0.4783213234564136,LOG_MLM,fus_GRMS_early_attfp
5,146,0.15492663722074865,0.4288576507820132,LOG_MLM,fus_GRMS_early_attfp
6,146,0.1872773188496199,0.4918416936068273,LOG_MLM,fus_GRMS_early_attfp
7,147,0.2516089743252587,0.4982146004735971,LOG_MLM,fus_GRMS_early_attfp
0,147,0.03589552136754526,0.3319811429727364,LOG_MLM,fus_GRMS_early_lgbm
1,146,0.05505042299785522,0.36846822533708334,LOG_MLM,fus_GRMS_early_lgbm
2,146,0.06885326527034547,0.39715045232007223,LOG_MLM,fus_GRMS_early_lgbm
3,146,0.0820841353135277,0.3479551622148466,LOG_MLM,fus_GRMS_early_lgbm
4,146,0.09628271777733878,0.35584100929681095,LOG_MLM,fus_GRMS_early_lgbm
5,146,0.11112789063407291,0.3744482083954082,LOG_MLM,fus_GRMS_early_lgbm
6,146,0.128837524420976,0.44691534729123183,LOG_MLM,fus_GRMS_early_lgbm
7,147,0.16710842061765396,0.482249253827312,LOG_MLM,fus_GRMS_early_lgbm
0,147,0.029482883406287918,0.33911666644833766,LOG_MLM,fus_GRMS_early_rf
1,146,0.04702500712689972,0.36574003385757453,LOG_MLM,fus_GRMS_early_rf
2,146,0.05927199577641605,0.34293026465293097,LOG_MLM,fus_GRMS_early_rf
3,146,0.07025229151853933,0.39833909397149786,LOG_MLM,fus_GRMS_early_rf
4,146,0.08049523137241095,0.3789139264939287,LOG_MLM,fus_GRMS_early_rf
5,146,0.09222899513422084,0.408075502088852,LOG_MLM,fus_GRMS_early_rf
6,146,0.10733823721776596,0.3884701186371874,LOG_MLM,fus_GRMS_early_rf
7,147,0.1377911243803849,0.45513200154597017,LOG_MLM,fus_GRMS_early_rf
0,147,0.020176275258539652,0.309625358898151,LOG_MLM,fus_GRMS_late_attfp
1,146,0.029552795995053404,0.3545509381136111,LOG_MLM,fus_GRMS_late_attfp
2,146,0.03742741740517872,0.37287517862263464,LOG_MLM,fus_GRMS_late_attfp
3,146,0.044863776556309305,0.3486923758430024,LOG_MLM,fus_GRMS_late_attfp
4,146,0.05197085598296626,0.3671932279892389,LOG_MLM,fus_GRMS_late_attfp
5,146,0.05931282715609361,0.42496872211900155,LOG_MLM,fus_GRMS_late_attfp
6,146,0.06837535438877163,0.40155151482348295,LOG_MLM,fus_GRMS_late_attfp
7,147,0.08664029866854894,0.45419152565907894,LOG_MLM,fus_GRMS_late_attfp
0,147,0.02795605021890511,0.3203610823485751,LOG_MLM,fus_GRMS_late_lgbm
1,146,0.04117581849284898,0.3461007705168517,LOG_MLM,fus_GRMS_late_lgbm
2,146,0.05091723087411025,0.42091711843888024,LOG_MLM,fus_GRMS_late_lgbm
3,146,0.06088273340959027,0.3602395659285366,LOG_MLM,fus_GRMS_late_lgbm
4,146,0.06978918632255335,0.38879401869898733,LOG_MLM,fus_GRMS_late_lgbm
5,146,0.08130107668471027,0.39575654408364147,LOG_MLM,fus_GRMS_late_lgbm
6,146,0.09624199470891741,0.5040362802266443,LOG_MLM,fus_GRMS_late_lgbm
7,147,0.12490883654559046,0.4688524873616705,LOG_MLM,fus_GRMS_late_lgbm
0,147,0.028217264361903256,0.31169365590957415,LOG_MLM,fus_GRMS_late_rf
1,146,0.042989356850728216,0.36681901917844933,LOG_MLM,fus_GRMS_late_rf
2,146,0.05190549138632572,0.41379820172838144,LOG_MLM,fus_GRMS_late_rf
3,146,0.06196218000325316,0.38152699050984673,LOG_MLM,fus_GRMS_late_rf
4,146,0.07077635849430204,0.3690137926690752,LOG_MLM,fus_GRMS_late_rf
5,146,0.08255753565109478,0.4221118795555494,LOG_MLM,fus_GRMS_late_rf
6,146,0.09720191504837385,0.48988061604882344,LOG_MLM,fus_GRMS_late_rf
7,147,0.12504566149843954,0.4596030586278363,LOG_MLM,fus_GRMS_late_rf
0,147,0.03701641406938244,0.29740083258867045,LOG_MLM,fus_GRM_early_attfp
1,146,0.060458381009080076,0.36673916029295056,LOG_MLM,fus_GRM_early_attfp
2,146,0.07528232448969399,0.3788237562671871,LOG_MLM,fus_GRM_early_attfp
3,146,0.08529149627556146,0.39085577259852405,LOG_MLM,fus_GRM_early_attfp
4,146,0.09568642675269129,0.40670130626943657,LOG_MLM,fus_GRM_early_attfp
5,146,0.10760976965107187,0.3968963090212213,LOG_MLM,fus_GRM_early_attfp
6,146,0.1241002305964633,0.41344145573696817,LOG_MLM,fus_GRM_early_attfp
7,147,0.15993044179427066,0.40880604986596025,LOG_MLM,fus_GRM_early_attfp
0,147,0.03081337665813325,0.27950195517848003,LOG_MLM,fus_GRM_early_lgbm
1,147,0.04959499307573138,0.36770300817126383,LOG_MLM,fus_GRM_early_lgbm
2,146,0.06052397129703113,0.39245483869336345,LOG_MLM,fus_GRM_early_lgbm
3,145,0.07144266846430683,0.39080321930081774,LOG_MLM,fus_GRM_early_lgbm
4,147,0.08339624484172213,0.4192761487602211,LOG_MLM,fus_GRM_early_lgbm
5,145,0.09526086052172154,0.411720612267044,LOG_MLM,fus_GRM_early_lgbm
6,147,0.1129651270390448,0.43001480002464615,LOG_MLM,fus_GRM_early_lgbm
7,146,0.15243205381053326,0.4137962652290653,LOG_MLM,fus_GRM_early_lgbm
0,147,0.02723477923761573,0.30569338587380596,LOG_MLM,fus_GRM_early_rf
1,146,0.04524525215849172,0.398613989878357,LOG_MLM,fus_GRM_early_rf
2,146,0.05698299730657421,0.34779279195893764,LOG_MLM,fus_GRM_early_rf
3,146,0.0677654638651613,0.3997871561894972,LOG_MLM,fus_GRM_early_rf
4,146,0.07784381515770789,0.40736655325249904,LOG_MLM,fus_GRM_early_rf
5,146,0.088327090972825,0.42215954990071497,LOG_MLM,fus_GRM_early_rf
6,146,0.10670661587457599,0.42271200642302964,LOG_MLM,fus_GRM_early_rf
7,147,0.14191119865596902,0.4025028853390748,LOG_MLM,fus_GRM_early_rf
0,147,0.018714680690052946,0.3030121284220413,LOG_MLM,fus_GRM_late_attfp
1,146,0.02806793601974976,0.3378582993755599,LOG_MLM,fus_GRM_late_attfp
2,146,0.03476154302368496,0.36816419500036657,LOG_MLM,fus_GRM_late_attfp
3,146,0.041245674185918235,0.36254866221173176,LOG_MLM,fus_GRM_late_attfp
4,146,0.04762504024109533,0.41180934182963846,LOG_MLM,fus_GRM_late_attfp
5,146,0.054658729048917186,0.4001245047060828,LOG_MLM,fus_GRM_late_attfp
6,146,0.06291025986227503,0.39419990450511255,LOG_MLM,fus_GRM_late_attfp
7,147,0.082716210896453,0.4395050170705648,LOG_MLM,fus_GRM_late_attfp
0,147,0.026399946523137627,0.3312979414014699,LOG_MLM,fus_GRM_late_lgbm
1,146,0.03940200424573148,0.3490450964693674,LOG_MLM,fus_GRM_late_lgbm
2,146,0.047922868476102005,0.36243572795973994,LOG_MLM,fus_GRM_late_lgbm
3,146,0.056145640485988434,0.38384445409516493,LOG_MLM,fus_GRM_late_lgbm
