endpoint,metric,method,label,mean,sd,tukey_group
LOG_MBPB,spearman,chemprop,ChemProp multi-task,0.8125508445070837,0.019151914455195942,worse
LOG_MBPB,spearman,chemeleon,ChemProp + CheMeleon,0.8574029902830191,0.016331293239999465,best
LOG_MBPB,spearman,uni_R_rf,RF - RDKit,0.747246222341661,0.018544901724468783,worse
LOG_MBPB,spearman,fus_GRMS_late_attfp,AttentiveFP | Late | GNN + RDKit + Mol2Vec + SMILES,0.7920638452247722,0.017922071611362157,worse
LOG_MBPB,mae,lgbm,LightGBM + Morgan,0.222813035468897,0.018243204973775823,worse
LOG_MBPB,mae,chemprop_st,ChemProp single-task,0.23161229295434693,0.02418552794497928,worse
LOG_MBPB,mae,chemprop,ChemProp multi-task,0.17902197346009302,0.010436595549233717,worse
LOG_MBPB,mae,chemeleon,ChemProp + CheMeleon,0.15741322620649223,0.018351661795056068,best
LOG_MBPB,mae,uni_R_rf,RF - RDKit,0.22296333288925219,0.007709294972697399,worse
LOG_MBPB,mae,fus_GRMS_late_attfp,AttentiveFP | Late | GNN + RDKit + Mol2Vec + SMILES,0.2191434172253706,0.018874183442102958,worse
LOG_MGMB,r2,lgbm,LightGBM + Morgan,0.259508711611842,0.1476367620099893,worse
LOG_MGMB,r2,chemprop_st,ChemProp single-task,0.27903153624906296,0.06272932638862519,worse
LOG_MGMB,r2,chemprop,ChemProp multi-task,0.6162857491201964,0.019735568221865535,equivalent
LOG_MGMB,r2,chemeleon,ChemProp + CheMeleon,0.6415650144861139,0.026681551469676917,best
LOG_MGMB,r2,uni_R_rf,RF - RDKit,0.5054757510990399,0.049090703945098006,worse
LOG_MGMB,r2,fus_GRMS_late_attfp,AttentiveFP | Late | GNN + RDKit + Mol2Vec + SMILES,0.5188501196391956,0.09370775093596488,worse
LOG_MGMB,spearman,lgbm,LightGBM + Morgan,0.6090153747850399,0.057849901253376905,worse
LOG_MGMB,spearman,chemprop_st,ChemProp single-task,0.3882452456825305,0.06916949719581299,worse
LOG_MGMB,spearman,chemprop,ChemProp multi-task,0.7730155144504383,0.01390138344230897,equivalent
LOG_MGMB,spearman,chemeleon,ChemProp + CheMeleon,0.8082907930463228,0.01271544718719081,best
LOG_MGMB,spearman,uni_R_rf,RF - RDKit,0.7102194889902299,0.03068367409727038,worse
LOG_MGMB,spearman,fus_GRMS_late_attfp,AttentiveFP | Late | GNN + RDKit + Mol2Vec + SMILES,0.7201825836745559,0.04538762689262262,worse
LOG_MGMB,mae,lgbm,LightGBM + Morgan,0.3022484602860728,0.03416354442911951,worse
LOG_MGMB,mae,chemprop_st,ChemProp single-task,0.30389546754559477,0.01776392601942264,worse
LOG_MGMB,mae,chemprop,ChemProp multi-task,0.18508525070036103,0.00904758112576858,equivalent
LOG_MGMB,mae,chemeleon,ChemProp + CheMeleon,0.1750335532577769,0.01520564165534029,best
LOG_MGMB,mae,uni_R_rf,RF - RDKit,0.2379568080489234,0.013873775848856533,worse
LOG_MGMB,mae,fus_GRMS_late_attfp,AttentiveFP | Late | GNN + RDKit + Mol2Vec + SMILES,0.23018129093332107,0.03296863645530101,worse
