endpoint,repeat,fold,n_fit,n_val,n_test,selected_view,selected_block,selected_backend,selected_val_r2,n_features
LOG_HPPB,4,1,95,33,66,chem,core_pair_torsion,extratrees,0.43595775676695714,2048
LOG_HPPB,4,2,98,30,66,chemberta,core_pair_torsion,xgb,0.611184384443048,2048
LOG_HPPB,4,3,111,17,66,chem,core_maccs_fcfp,xgb,0.5227282292863092,2048
LOG_HPPB,4,4,111,17,66,chem,core_maccs_fcfp,xgb,0.4115879261698562,2048
LOG_RPPB,0,0,84,25,59,chem,core_maccs_fcfp,xgb,0.5241132087061645,2048
LOG_RPPB,0,1,86,23,59,chem,core_maccs_fcfp,xgb,0.5279315123331372,2048
LOG_RPPB,0,2,93,16,59,unimol,core_pair_torsion,ridge,0.2944636817637738,2048
LOG_RPPB,0,3,79,30,59,kpgt,wide_chem,xgb,0.5210582870476024,2048
LOG_RPPB,0,4,94,15,59,unimol,wide_chem,xgb,0.5411576213890575,2048
LOG_RPPB,1,0,91,18,59,chem,core_maccs_fcfp,xgb,0.5640199167350767,2048
LOG_RPPB,1,1,91,18,59,chemberta,core_pair_torsion,rf,0.18833041591724375,2048
LOG_RPPB,1,2,91,18,59,unimol,core_maccs_fcfp,xgb,0.4416038110901084,2048
LOG_RPPB,1,3,84,25,59,kpgt,core_pair_torsion,ridge,0.46610007038184453,2048
LOG_RPPB,1,4,79,30,59,unimol,core_pair_torsion,xgb,0.5432737463647752,2048
LOG_RPPB,2,0,97,12,59,chemberta,core_maccs_fcfp,xgb,0.25155528074668965,2048
LOG_RPPB,2,1,89,20,59,kpgt,wide_chem,xgb,0.5926305271239604,2048
LOG_RPPB,2,2,90,19,59,chem,core_maccs_fcfp,xgb,0.5638624653373885,2048
LOG_RPPB,2,3,69,40,59,chem,wide_chem,xgb,0.47564833127901285,2048
LOG_RPPB,2,4,91,18,59,kpgt,core_pair_torsion,ridge,0.5545707271097449,2048
LOG_RPPB,3,0,91,18,59,chem,core_pair_torsion,xgb,0.3559112340081756,2048
LOG_RPPB,3,1,86,23,59,chem,wide_chem,xgb,0.4700379613583269,2048
LOG_RPPB,3,2,89,20,59,unimol,wide_chem,xgb,-0.06863561216536773,2048
LOG_RPPB,3,3,85,24,59,chem,core_maccs_fcfp,xgb,0.5673534325712581,2048
LOG_RPPB,3,4,85,24,59,unimol,core_maccs_fcfp,xgb,0.5612846296176466,2048
LOG_RPPB,4,0,82,27,59,kpgt,core_maccs_fcfp,xgb,0.47404585274898337,2048
LOG_RPPB,4,1,83,26,59,chem,core_maccs_fcfp,xgb,0.36021979488983125,2048
LOG_RPPB,4,2,86,23,59,chemberta,wide_chem,xgb,0.6000931871431564,2048
LOG_RPPB,4,3,92,17,59,unimol,wide_chem,xgb,0.550888704544122,2048
LOG_RPPB,4,4,93,16,59,chem,core_maccs_fcfp,xgb,0.517192111629049,2048
