endpoint,config,repeat,fold,n_features,ridge_val_r2
LOG_Caco_Efflux,r2_dm2_sum_nofrag,0,0,462,0.44747048605869966
LOG_MPPB,r2_dm2_sum_nofrag,0,0,481,0.36337513039652236
LOG_MBPB,r2_dm2_sum_nofrag,0,0,396,0.40887007873319303
LOG_MGMB,r2_dm2_sum_nofrag,0,0,126,0.2233342426480922
LogD,r2_dp1_max_cep,0,0,4000,0.5508164146470185
LogS,r2_dp1_max_cep,0,0,4000,0.14130912655610306
LOG_HLM,r2_dp1_max_cep,0,0,3907,-0.03279418226631936
LOG_MLM,r2_dp1_max_cep,0,0,4000,-0.014357325216478145
LOG_Caco_AB,r2_dp1_max_cep,0,0,2377,0.03339874952665989
LOG_Caco_Efflux,r2_dp1_max_cep,0,0,2207,0.16738384689369779
LOG_MPPB,r2_dp1_max_cep,0,0,1575,0.2061813282375281
LOG_MBPB,r2_dp1_max_cep,0,0,1280,0.17285090634986433
LOG_MGMB,r2_dp1_max_cep,0,0,391,0.258601202363017
LogD,r2_dp1_max_nofrag,0,0,4000,0.4395225903728651
LogS,r2_dp1_max_nofrag,0,0,4000,0.15637045647544945
LOG_HLM,r2_dp1_max_nofrag,0,0,3895,-0.16764672599755914
LOG_MLM,r2_dp1_max_nofrag,0,0,4000,-0.00774525987773611
LOG_Caco_AB,r2_dp1_max_nofrag,0,0,2426,0.05454532626614028
LOG_Caco_Efflux,r2_dp1_max_nofrag,0,0,2196,0.2371552106387571
LOG_MPPB,r2_dp1_max_nofrag,0,0,1608,0.20984457001113332
LOG_MBPB,r2_dp1_max_nofrag,0,0,1278,0.2443449303039893
LOG_MGMB,r2_dp1_max_nofrag,0,0,371,0.20423715087563288
LogD,r2_dp1_sum_cep,0,0,4000,0.40032238297386546
LogS,r2_dp1_sum_cep,0,0,4000,0.017286214676196843
LOG_HLM,r2_dp1_sum_cep,0,0,3876,-0.3053654837117008
LOG_MLM,r2_dp1_sum_cep,0,0,4000,0.051405259375176815
LOG_Caco_AB,r2_dp1_sum_cep,0,0,2301,-0.02596527768274748
LOG_Caco_Efflux,r2_dp1_sum_cep,0,0,2120,0.18627920992046187
LOG_MPPB,r2_dp1_sum_cep,0,0,1587,0.025651154308313107
LOG_MBPB,r2_dp1_sum_cep,0,0,1284,0.21550060273544658
LOG_MGMB,r2_dp1_sum_cep,0,0,377,-0.7994080609380416
LogD,r2_dp1_sum_nofrag,0,0,4000,0.3642207427836823
LogS,r2_dp1_sum_nofrag,0,0,4000,-0.013559160505285606
LOG_HLM,r2_dp1_sum_nofrag,0,0,3860,-0.1650214528535916
LOG_MLM,r2_dp1_sum_nofrag,0,0,4000,0.03483584451240207
LOG_Caco_AB,r2_dp1_sum_nofrag,0,0,2386,0.022130422050254728
LOG_Caco_Efflux,r2_dp1_sum_nofrag,0,0,2140,0.28576780018984393
LOG_MPPB,r2_dp1_sum_nofrag,0,0,1571,0.06744137504249648
LOG_MBPB,r2_dp1_sum_nofrag,0,0,1299,0.27884032779176215
LOG_MGMB,r2_dp1_sum_nofrag,0,0,353,-1.080543873786179
