task,dimension,model,dataset,split,fold,seed,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,test_pearson_r,test_spearman_r,config,gap,objective_with_penalty,test_mse,train_mae,train_mse,train_pearson_r,train_r2,train_rmse,train_spearman_r,val_mse,val_pearson_r,val_spearman_r
regressor,2d,gnn,279,umap,5,42,0.5435031056404114,0.7180844833192459,0.5197665095329285,0.8241757750511169,1.059459262073712,-0.07500314712524414,0.217405304312706,0.20254200242690557,"{'hidden_dim': 200, 'n_layers': 4, 'ffn_hidden_dim': 300, 'ffn_n_layers': 3, 'dropout': 0.016733099693274744, 'aggregation': 'sum', 'lr': 0.0008360570201240891, 'weight_decay': 3.1235922543432145e-05, 'batch_size': 100, 'optimizer': 'adamw', 'loss_strategy': 'mae'}",-0.05334347092009739,0.7180844833192459,1.1224539279937744,0.49613726139068604,0.44188061356544495,0.8138724565505981,0.6294873952865601,0.6647410123991485,0.811001631672506,0.5156453251838684,0.7340636849403381,0.7102161738896332
regressor,2d,gnn,279,umap,3,42,0.6283514499664307,0.8238375175306021,0.39003318548202515,1.0581557750701904,1.3178734003748571,-0.624674916267395,0.08826141059398651,0.02591462850836992,"{'hidden_dim': 200, 'n_layers': 4, 'ffn_hidden_dim': 400, 'ffn_n_layers': 2, 'dropout': 0.04318809447060709, 'aggregation': 'sum', 'lr': 0.000406700227327115, 'weight_decay': 9.080699613345812e-06, 'batch_size': 25, 'optimizer': 'adamw', 'loss_strategy': 'huber'}",-0.2272734434155369,0.8238375175306021,1.7367902994155884,0.4369776248931885,0.355888694524765,0.8466421961784363,0.7113859057426453,0.5965640741150652,0.8463807381163905,0.6787082552909851,0.6532357931137085,0.6147764226540816
regressor,2d,gnn,279,umap,2,42,0.5746784210205078,0.729327038885405,0.5625391006469727,1.0679763555526733,1.3330159057818642,-0.8294881582260132,0.3717106282711029,0.33576034157224033,"{'hidden_dim': 200, 'n_layers': 4, 'ffn_hidden_dim': 400, 'ffn_n_layers': 2, 'dropout': 0.02196322587624379, 'aggregation': 'sum', 'lr': 0.0007383865800019474, 'weight_decay': 8.345012595137832e-06, 'batch_size': 50, 'optimizer': 'adamw', 'loss_strategy': 'huber'}",-0.18615746437472047,0.729327038885405,1.7769314050674438,0.40432778000831604,0.29503318667411804,0.8795000910758972,0.7572283744812012,0.5431695745106845,0.8825525250684321,0.531917929649353,0.7653993964195251,0.7569330231830489
regressor,2d,gnn,279,umap,4,42,0.5929253101348877,0.7753772878580811,0.5204473733901978,1.0977941751480103,1.362017507603023,-0.5646588802337646,0.001131838420405984,0.011981172770854321,"{'hidden_dim': 400, 'n_layers': 4, 'ffn_hidden_dim': 200, 'ffn_n_layers': 3, 'dropout': 0.15797865651504042, 'aggregation': 'sum', 'lr': 0.00046479907913382244, 'weight_decay': 6.103789512381076e-05, 'batch_size': 25, 'optimizer': 'adam', 'loss_strategy': 'huber'}",-0.10024562035250717,0.7753772878580811,1.8550916910171509,0.5193066000938416,0.4558027684688568,0.7914710640907288,0.616100549697876,0.675131667505574,0.7929093301023878,0.6012099385261536,0.7290920615196228,0.7240567466053203
regressor,2d,gnn,279,umap,1,42,0.5446906685829163,0.7125164147209492,0.6267192363739014,1.0034193992614746,1.2297650944077516,-0.30625033378601074,0.1511465311050415,0.22924434615609454,"{'hidden_dim': 400, 'n_layers': 6, 'ffn_hidden_dim': 400, 'ffn_n_layers': 3, 'dropout': 0.0746158577711023, 'aggregation': 'sum', 'lr': 0.0005066125962376506, 'weight_decay': 2.5866025912706472e-05, 'batch_size': 50, 'optimizer': 'adamw', 'loss_strategy': 'huber'}",-0.10955253110412,0.7125164147209492,1.512322187423706,0.46391236782073975,0.36356544494628906,0.838299036026001,0.7000390291213989,0.6029638836168292,0.8374040607125026,0.5076796412467957,0.7929888963699341,0.7875595065337057
regressor,2d,gnn,279,time,5,42,0.4778701364994049,0.6073912585230181,0.6362779140472412,1.0821574926376343,1.3893783210306292,-0.9824262857437134,0.20496626198291779,0.24479744052496463,"{'hidden_dim': 200, 'n_layers': 4, 'ffn_hidden_dim': 200, 'ffn_n_layers': 3, 'dropout': 0.01871506741210366, 'aggregation': 'sum', 'lr': 0.0005381054328327183, 'weight_decay': 1.1878278293673993e-05, 'batch_size': 50, 'optimizer': 'adamw', 'loss_strategy': 'mse'}",-0.029510141289367353,0.6073912585230181,1.9303721189498901,0.447043240070343,0.3339465856552124,0.8585453629493713,0.7321336269378662,0.5778811172336508,0.8586744130779684,0.3689241409301758,0.801516592502594,0.782192728947615
regressor,2d,gnn,279,time,3,42,0.5925243496894836,0.7609842524960665,0.585078239440918,1.205159068107605,1.5186736915789845,-0.7232362031936646,0.08609630167484283,0.1235205209518667,"{'hidden_dim': 300, 'n_layers': 5, 'ffn_hidden_dim': 300, 'ffn_n_layers': 2, 'dropout': 0.04050208960676313, 'aggregation': 'sum', 'lr': 0.0005919435231766901, 'weight_decay': 2.0965587833642457e-05, 'batch_size': 25, 'optimizer': 'adamw', 'loss_strategy': 'mae'}",-0.1470984644110519,0.7609842524960665,2.3063697814941406,0.4560825824737549,0.3768557608127594,0.8002774715423584,0.6303524971008301,0.6138857880850146,0.7850953801194547,0.5790970325469971,0.7692865133285522,0.7722496799153898
regressor,2d,gnn,279,time,2,42,0.5889917612075806,0.7458828932707453,0.5395042896270752,1.2360503673553467,1.5490236098852508,-0.8001842498779297,0.12089873105287552,0.15079343825450414,"{'hidden_dim': 300, 'n_layers': 4, 'ffn_hidden_dim': 300, 'ffn_n_layers': 2, 'dropout': 0.05299607942262423, 'aggregation': 'sum', 'lr': 0.0006311907490436259, 'weight_decay': 7.591259438346301e-05, 'batch_size': 25, 'optimizer': 'adamw', 'loss_strategy': 'mae'}",-0.08985027619282515,0.7458828932707453,2.3994741439819336,0.49248823523521423,0.430378794670105,0.7643100619316101,0.5702074766159058,0.6560326170779202,0.7579121813594463,0.556341290473938,0.7509239315986633,0.741311527585764
regressor,2d,gnn,279,time,4,42,0.5137109160423279,0.6753450209498113,0.5900145769119263,1.2133722305297852,1.5485343125273605,-0.9486000537872314,0.02190091460943222,0.04280268869195025,"{'hidden_dim': 500, 'n_layers': 6, 'ffn_hidden_dim': 200, 'ffn_n_layers': 3, 'dropout': 0.10443605469531365, 'aggregation': 'sum', 'lr': 0.00028792297573901354, 'weight_decay': 3.9666623709483016e-05, 'batch_size': 25, 'optimizer': 'adam', 'loss_strategy': 'mse'}",-0.03560638823448392,0.6753450209498113,2.397958517074585,0.4910602569580078,0.40926551818847656,0.8154289126396179,0.6515692472457886,0.6397386327153274,0.8136363111443794,0.45609089732170105,0.788208544254303,0.7635242899220706
regressor,2d,gnn,279,time,1,42,0.5719915628433228,0.7133451919892028,0.12801122665405273,0.986517608165741,1.2002397595735281,-0.05503499507904053,0.046643003821372986,0.07289029904288312,"{'hidden_dim': 500, 'n_layers': 6, 'ffn_hidden_dim': 200, 'ffn_n_layers': 1, 'dropout': 0.1731055080689295, 'aggregation': 'mean', 'lr': 6.243343016601396e-05, 'weight_decay': 4.623227116994194e-05, 'batch_size': 50, 'optimizer': 'adamw', 'loss_strategy': 'huber'}",0.12099313324818584,0.7133451919892028,1.4405754804611206,0.662938117980957,0.6961204409599304,0.4509347677230835,0.1638299822807312,0.8343383252373886,0.47176907145561003,0.5088613629341125,0.3934772312641144,0.36513007196052766
