task,dimension,model,dataset,split,fold,seed,best_k,val_mae,val_rmse,val_r2,test_mae,test_rmse,test_r2,test_pearson_r,test_spearman_r,median_mae,median_rmse,median_r2,mean_mae,mean_rmse,mean_r2,random_mae,random_rmse,random_r2
regressor,2d,knn,262,random,3,42,3,0.5109982138282473,0.6416893494706479,0.5932708982568158,0.5033448548178192,0.6659121044034964,0.6434984347082084,0.8037729548770509,0.7925350791263217,0.9144324131635913,1.1171479304236154,-0.0033420022871732957,0.915765249863764,1.1158379782641252,-0.000990372025399422,1.2838668359293632,1.6075230247891303,-1.0775047567269378
regressor,2d,knn,262,scaffold,3,42,5,0.6360966314212948,0.8342941710407775,0.4500923934596317,0.6552522963506763,0.8702547926562847,0.42851221587147426,0.6901229152461448,0.659258551063451,0.9881802042436992,1.156969061897068,-0.01008424163895083,0.9922926729900604,1.160512996856878,-0.01628173724700721,1.245909838880169,1.5186562567002913,-0.7403358703468952
regressor,2d,knn,262,butina,3,42,3,0.4480074979173577,0.6266358246243131,0.6780705878789498,0.8618727774283065,1.0667103377094027,-0.06926979978569414,0.26787682522420053,0.23199346578659655,0.90073313670753,1.0841734774725702,-0.10456645676838705,0.8870386077071858,1.0648179989933952,-0.06547940646229389,1.2422557828353704,1.5023884027371888,-1.1210882494074887
regressor,2d,knn,262,diverse_25,3,42,3,0.7411462415985877,0.9301763442823887,0.17635544441310336,0.8734770244028851,1.058519926638558,0.27245233759901777,0.5290554478136535,0.485906362545018,1.03465646725952,1.264511058184242,-0.03826601052245482,1.0246813996610586,1.2481728778525072,-0.011609400273765447,1.2961811657569036,1.5655183094951612,-0.5914011814824447
regressor,2d,knn,262,umap,3,42,3,0.514722969310684,0.7214380395109989,0.5231540685125748,0.834791188744395,1.0280811920512893,-0.26855516508408894,0.1496565099827396,0.11229992240334924,0.7306068308329265,0.9127970306780565,-6.831712637378473e-06,0.7322205167734107,0.9154840410248639,-0.005902958739269382,1.2371783641882956,1.5138029851254162,-1.7503834386575927
regressor,2d,knn,262,time,3,42,1,0.5570097824213942,0.7404519976633253,0.4551453992712702,0.9818580679192959,1.292863750553662,-0.33268035139696983,0.26856943541414346,0.21913440508299217,0.9574795891772336,1.1404469139915996,-0.03698058593866893,0.960132776499056,1.1430455227483634,-0.04171167313188051,1.2595034523514086,1.5509999811420165,-0.9179799464786933
regressor,2d,knn,279,random,3,42,3,0.49056498732828036,0.7410693825178887,0.5741964460285225,0.5161589551408955,0.705314339956947,0.5566942907734239,0.7619475021834955,0.7542168608722969,0.8879125572699463,1.0595027425656274,-0.0003271761833403275,0.8887528727746469,1.059622902053868,-0.0005540856809380657,1.2363320381340435,1.515035514653187,-1.0454248316073596
regressor,2d,knn,279,scaffold,3,42,3,0.5561357466682939,0.7267965362489253,0.5955506797578023,0.5609346278020855,0.7431866873348102,0.474577185673866,0.7037028255886715,0.6944856025466011,0.8320439961333692,1.025287823779455,-1.078242135599261e-05,0.8346371887936546,1.0260785555103917,-0.001553851907820869,1.2374418668763547,1.5375542986655342,-1.2489200005054575
regressor,2d,knn,279,butina,3,42,3,0.538016627554526,0.7077556809387072,0.6101814007894673,0.7881880446507249,1.0133537284335168,-0.03232397884561933,0.4189912397075093,0.3572624340978161,0.8003249816841956,1.005657478122518,-0.016702872483943754,0.8027349713338265,1.007558456466629,-0.020550219895174582,1.2239648708072741,1.4902687453948504,-1.2326624200426064
regressor,2d,knn,279,diverse_25,3,42,3,0.8011211218042363,1.0213380639227256,0.18143211842028528,0.7695408464760453,0.9715694423339639,0.0245699327665575,0.40915747388339224,0.4031648248795633,0.8488968578055227,0.9942299983351902,-0.021461894318751673,0.8520879149889423,0.9989383246393536,-0.03115937614236719,1.3044846839597226,1.6074777659583266,-1.6701668123203852
regressor,2d,knn,279,umap,3,42,5,0.5259885597150511,0.7278992372998374,0.5238260660105536,1.0072721094598325,1.2208795445826863,-0.394327424058162,0.06666450994615497,0.0412363355464061,0.9495239054798428,1.1299177580098183,-0.19429826919695703,0.9298477917488467,1.1066740365933738,-0.14566745693194272,1.2461917593330614,1.5389784953494003,-1.2155636809455115
regressor,2d,knn,279,time,3,42,3,0.5590354253156304,0.7837709123545445,0.5598576282548563,1.0291874839840813,1.2842082534338202,-0.2322158008257862,0.2304716275135819,0.23840867022654777,1.0109064859252435,1.1946969866501564,-0.06642764946102342,0.9944528978026782,1.1760048513323613,-0.033318218804916144,1.2492530287017298,1.533266309562517,-0.7565116965049794
regressor,2d,knn,284,random,3,42,3,0.5175582018597489,0.7882887864427837,0.3180797897271507,0.46041090280349356,0.6811351117385837,0.4942376282300136,0.7204343940826845,0.6977037127810334,0.7556374551359362,0.96186755210538,-0.00858040751399991,0.7542838789008313,0.9594684279033111,-0.003555407975910141,1.1321935321317853,1.45524011743513,-1.3086032141038424
regressor,2d,knn,284,scaffold,3,42,3,0.4337433375742118,0.62946652167378,0.5413957206222137,0.5552579574913761,0.7680087882749175,0.3442058199689768,0.6495043136659798,0.6006697613132852,0.7531423243402655,0.9543468886573379,-0.012622802521373488,0.7550908924112913,0.9557509012207123,-0.01560448761964861,1.1248674708346238,1.3928898695272016,-1.157092348621585
regressor,2d,knn,284,butina,3,42,3,0.43964836446687316,0.6567041216356561,0.5657048128110425,0.7707440643994217,1.0453622851480777,-0.06253994208376823,0.36121569097453,0.3979376720584965,0.8434812316333177,1.0205222194145422,-0.012643406965675341,0.8426652447917342,1.018810350278051,-0.009248950625586172,1.1134035039075434,1.3802795218834896,-0.8524466072564685
regressor,2d,knn,284,diverse_25,3,42,5,0.6865714901614062,0.8988705839657597,0.32290232060431867,0.8131323957730108,0.9974068621496375,0.016812551378886265,0.27728078666756495,0.2134961643740469,0.8807406942683607,1.0143669170054745,-0.016908260163812194,0.879549534933127,1.010050710656792,-0.008272632050105866,1.1744731799208794,1.490245722100769,-1.194862859745541
regressor,2d,knn,284,umap,3,42,3,0.4476137262554066,0.6764139280065735,0.4713709882569208,0.9913039020796413,1.2146410132319614,-0.2832877259326678,0.19746421773274894,0.2139616430930351,0.9431743364813,1.1355727707264451,-0.1216519052930054,0.9502713089611619,1.1438604597882729,-0.13808383172923744,1.1748437300453305,1.4305088000603166,-0.7799558304995149
regressor,2d,knn,284,time,3,42,3,0.499309678578316,0.668852481074346,0.49274326359552423,0.8362893889854062,1.0380344140714777,0.12442259534358646,0.3713624916383612,0.36374409408383684,0.9413644437205372,1.1332980233932397,-0.04366063801672171,0.9444326666559855,1.1379291346459661,-0.05220769950534221,1.1340484710276744,1.4168388038275062,-0.6312177061707567
regressor,2d,knn,4005,random,3,42,3,0.4780349265615911,0.6543703612864886,0.6426253814877605,0.5107767791652208,0.6942563909223145,0.5830858868597651,0.7743075373474178,0.7395966164570493,0.8900158318872978,1.0843336792558202,-0.017027552114916134,0.8903065977358404,1.0761173455272275,-0.0016732768921450258,1.1239986536980215,1.4205954930639566,-0.745611881492666
