endpoint,repeat,fold,fusion,modality,mean_abs_shap
LOG_HLM,3,1,early,smiles,0.3778964768052279
LOG_HLM,4,3,early,rdkit,0.042267503590410836
LOG_HLM,4,3,early,mol2vec,0.08891256466254874
LOG_HLM,4,3,early,gnn,0.4298581895230712
LOG_HLM,4,3,early,smiles,0.4051533283411761
LOG_HLM,4,4,early,rdkit,0.01229039629090037
LOG_HLM,4,4,early,mol2vec,0.043394764553362025
LOG_HLM,4,4,early,gnn,0.2346840881866831
LOG_HLM,4,4,early,smiles,0.7116274172406063
LOG_MLM,1,3,early,rdkit,0.044294018296753335
LOG_MLM,1,3,early,mol2vec,0.22027703563758239
LOG_MLM,1,3,early,gnn,0.7273592056987276
LOG_MLM,1,3,early,smiles,0.3039374793356812
LOG_MLM,2,2,early,rdkit,0.022770131937685123
LOG_MLM,2,2,early,mol2vec,0.1818765940200386
LOG_MLM,2,2,early,gnn,0.8197947189884018
LOG_MLM,2,2,early,smiles,0.13900554530314954
LOG_MLM,0,4,early,rdkit,0.06926623171313008
LOG_MLM,0,4,early,mol2vec,0.19041739258772714
LOG_MLM,0,4,early,gnn,0.7578702931755863
LOG_MLM,0,4,early,smiles,0.2226013970837799
LOG_MLM,2,0,early,rdkit,0.026332458154524077
LOG_MLM,2,0,early,mol2vec,0.14779382492662863
LOG_MLM,2,0,early,gnn,0.7065306917824802
LOG_MLM,2,0,early,smiles,0.4047774254713242
LOG_MLM,1,2,early,rdkit,0.06161685893106839
LOG_MLM,1,2,early,mol2vec,0.1523771304111803
LOG_MLM,1,2,early,gnn,0.7082751278682282
LOG_MLM,1,2,early,smiles,0.2911050076899679
LOG_MLM,2,1,early,rdkit,0.08169443628670964
LOG_MLM,2,1,early,mol2vec,0.31818009350137266
LOG_MLM,2,1,early,gnn,0.6125529198667495
LOG_MLM,2,1,early,smiles,0.41736232796274536
LOG_MLM,1,4,early,rdkit,0.02009058869138899
LOG_MLM,1,4,early,mol2vec,0.08267412243028252
LOG_MLM,1,4,early,gnn,0.7540516525460149
LOG_MLM,1,4,early,smiles,0.3029085222294524
LOG_MLM,3,0,early,rdkit,0.06616119448848887
LOG_MLM,3,0,early,mol2vec,0.16591547029465215
LOG_MLM,3,0,early,gnn,0.4729341296101052
