nonstereo_aromatic_smiles,pIC50,chembl_cid,Target ID,year
FC(F)(F)c1nncn1C1CCN(Cc2cc3nc(-c4cccc5[nH]ccc45)nc(N4CCOCC4)c3s2)CC1,5.40000018605658,CHEMBL4104716,4005,2017.0
Cc1nc(NC(=O)N2CCC3CC32C(N)=O)sc1-c1csc(C(C)(C)C)n1,6.7447274948966935,CHEMBL3608936,4005,2015.0
CC1(C)OCCN(c2cccc(-c3cc(C(F)(F)F)c4c(N)ncnn34)c2)C1=O,5.920818753952375,CHEMBL4061641,4005,2017.0
CCn1c(=O)c(-c2cc[nH]n2)cc2c(C)nc(N)nc21,7.4089353929735005,CHEMBL3545366,4005,2019.0
CC1(C)OCCN(c2cccc(-c3cc(-c4ccnn4CC(F)(F)F)c4c(N)ncnn34)c2)C1=O,5.080921907623926,CHEMBL4088828,4005,2017.0
O=C(Nc1ccc(Cl)c(C(F)(F)F)c1)N1CCN(c2nc3c(c(N4CCOCC4)n2)CS(=O)(=O)CC3)CC1,5.373659632624958,CHEMBL3792866,4005,2016.0
CC1(C)OCCN(c2cc(-c3cc(Cl)c4c(N)ncnn34)ccc2C#N)C1=O,7.267606240177031,CHEMBL4092654,4005,2017.0
C=CCN1CCN(Cc2cc3nc(-n4c(CC)nc5ccccc54)nc(N4CCOCC4)c3s2)C(=O)C1,6.530177984021837,CHEMBL4788725,4005,2020.0
O=C(Nc1ccc(CO)cc1)Nc1cccc(-c2nc(N3CCOCC3)c3ncccc3n2)c1,5.236572006437063,CHEMBL3109147,4005,2014.0
O=C(Nc1ccc(CO)cc1)Nc1ccc(-c2nc(N3CCOCC3)c3ncccc3n2)cc1,7.236572006437063,CHEMBL3109142,4005,2014.0
CNC(=O)C(C)Cn1cnc2ccc(-c3cnc(C)c(NS(=O)(=O)c4ccc(F)cc4Cl)c3)cc2c1=O,8.522878745280337,CHEMBL4643040,4005,2020.0
O=C(Nc1cc(-c2cccc3[nH]ccc23)cc2[nH]ncc12)c1ccccn1,5.0,CHEMBL4165288,4005,2017.0
CC1(C)OCCN(c2cccc(-c3cc(Cl)c4c(N)ncnn34)c2)C1=O,6.214670164989233,CHEMBL4067592,4005,2017.0
CC(=O)NC1CCCN(Cc2cc3nc(-c4cccc5[nH]ncc45)nc(N4CCOCC4)c3s2)C1,6.599997654072045,CHEMBL4465563,4005,2019.0
CC1(C)OCCN(c2cc(-c3cc(-c4ccnn4CC(F)(F)F)c4c(N)ncnn34)ccc2C#N)C1=O,5.958607314841775,CHEMBL4071877,4005,2017.0
Cc1nc(NC(=O)N2CCC2C(N)=O)sc1-c1ccnc(C(C)(C)C)n1,7.721246399047171,CHEMBL2397191,4005,2013.0
CCC(Nc1nc(N)nc(C)c1C#N)c1nc2cccc(CCCCCC(=O)NO)c2c(=O)n1-c1ccccc1,8.045757490560675,CHEMBL4443378,4005,2020.0
Cc1nc(NC(=O)N2CCC(O)C2C(N)=O)sc1-c1csc(C2(C(F)(F)F)CC2)n1,7.366531544420413,CHEMBL3608929,4005,2015.0
CCC(Nc1nc(N)nc(C)c1C#N)c1nc2cccc(NCCCCC(=O)NO)c2c(=O)n1-c1ccccc1,6.730487055782083,CHEMBL4544187,4005,2020.0
CCC(Nc1nc(N)nc(N)c1C#N)c1nc2cccc(CCCCCC(=O)NO)c2c(=O)n1-c1ccccc1,7.2839966563652,CHEMBL4550648,4005,2020.0
CCC(Nc1ncnc2[nH]cnc12)c1nc2cccc(CCCCCC(=O)NO)c2c(=O)n1-c1ccccc1,6.913640169325252,CHEMBL4451623,4005,2020.0
