bin,n,mean_sigma,mean_abs_error,endpoint,method
5,116,0.063606322668118,0.4235062518792245,LOG_HLM,fus_GRS_late_lgbm
6,116,0.0770538008922598,0.39383858844296477,LOG_HLM,fus_GRS_late_lgbm
7,116,0.10019055472044475,0.4655250205787031,LOG_HLM,fus_GRS_late_lgbm
0,117,0.00707931382618853,0.12234451236521603,LOG_HLM,fus_GRS_late_rf
1,116,0.024554422243184167,0.28007250001755907,LOG_HLM,fus_GRS_late_rf
2,116,0.037290459810337705,0.332060439868856,LOG_HLM,fus_GRS_late_rf
3,116,0.047120923281128005,0.3586489134876765,LOG_HLM,fus_GRS_late_rf
4,116,0.057294981708597606,0.4439593878497789,LOG_HLM,fus_GRS_late_rf
5,116,0.06695902966739774,0.4079522548812573,LOG_HLM,fus_GRS_late_rf
6,116,0.07976831268952554,0.4021083213423941,LOG_HLM,fus_GRS_late_rf
7,116,0.10452641122814803,0.41278515213166606,LOG_HLM,fus_GRS_late_rf
0,117,0.026014281346290965,0.33116668377497643,LOG_HLM,fus_GR_early_attfp
1,116,0.03951848301302483,0.3290186109324886,LOG_HLM,fus_GR_early_attfp
2,116,0.0488869786182991,0.3135483013600838,LOG_HLM,fus_GR_early_attfp
3,116,0.057113209195137224,0.3301840804152777,LOG_HLM,fus_GR_early_attfp
4,116,0.0659743662342149,0.3109570508010435,LOG_HLM,fus_GR_early_attfp
5,116,0.07664734335492383,0.37569560088690995,LOG_HLM,fus_GR_early_attfp
6,116,0.09132785935048816,0.3799881782903736,LOG_HLM,fus_GR_early_attfp
7,116,0.1313186998083945,0.41388020532150915,LOG_HLM,fus_GR_early_attfp
0,117,0.010716091873251371,0.15621898921648633,LOG_HLM,fus_GR_early_lgbm
1,116,0.02461052586429762,0.29212818489934195,LOG_HLM,fus_GR_early_lgbm
2,116,0.03742796095555991,0.33308283937556127,LOG_HLM,fus_GR_early_lgbm
3,116,0.04692232495601884,0.3390200811293654,LOG_HLM,fus_GR_early_lgbm
4,116,0.05783334821296292,0.3249831141788729,LOG_HLM,fus_GR_early_lgbm
5,116,0.0703192138628129,0.42732066583689743,LOG_HLM,fus_GR_early_lgbm
6,116,0.08728190510415496,0.37582451004235273,LOG_HLM,fus_GR_early_lgbm
7,116,0.12316900250981294,0.4400975090248579,LOG_HLM,fus_GR_early_lgbm
0,117,0.01020313967885751,0.13671253145822476,LOG_HLM,fus_GR_early_rf
1,116,0.025588294551564313,0.3020587316727789,LOG_HLM,fus_GR_early_rf
2,116,0.03758088054629585,0.314643126999523,LOG_HLM,fus_GR_early_rf
3,116,0.0477210597012727,0.3415813981419536,LOG_HLM,fus_GR_early_rf
4,116,0.057924485477935723,0.337518821431567,LOG_HLM,fus_GR_early_rf
5,116,0.06998472115966915,0.4039938716099538,LOG_HLM,fus_GR_early_rf
6,116,0.08536957048033593,0.400683191967243,LOG_HLM,fus_GR_early_rf
7,116,0.12129546314157928,0.42186567916950496,LOG_HLM,fus_GR_early_rf
0,117,0.015036080425428299,0.28367266767133176,LOG_HLM,fus_GR_late_attfp
1,116,0.02303100011511937,0.30416754036000077,LOG_HLM,fus_GR_late_attfp
2,116,0.02803483028781327,0.2958252405266779,LOG_HLM,fus_GR_late_attfp
3,116,0.03264106222366068,0.32259590760855644,LOG_HLM,fus_GR_late_attfp
4,116,0.03766179621479264,0.34767787677512324,LOG_HLM,fus_GR_late_attfp
5,116,0.043051326042126276,0.36134680262044544,LOG_HLM,fus_GR_late_attfp
6,116,0.050406044009364895,0.4144365729322465,LOG_HLM,fus_GR_late_attfp
7,116,0.06755721628757567,0.3808779330701491,LOG_HLM,fus_GR_late_attfp
0,117,0.00566306236604994,0.13887518395087983,LOG_HLM,fus_GR_late_lgbm
1,116,0.021282164411078445,0.30020199381221135,LOG_HLM,fus_GR_late_lgbm
2,116,0.03350671576641961,0.2978689477151776,LOG_HLM,fus_GR_late_lgbm
3,116,0.043384568518122966,0.3655911387548288,LOG_HLM,fus_GR_late_lgbm
4,116,0.05252403192755058,0.41366766617990275,LOG_HLM,fus_GR_late_lgbm
5,116,0.06145518976918709,0.4361111796661346,LOG_HLM,fus_GR_late_lgbm
6,116,0.07433373329923809,0.4123547188927363,LOG_HLM,fus_GR_late_lgbm
7,116,0.09895503313096529,0.4438264077016302,LOG_HLM,fus_GR_late_lgbm
0,117,0.007493665284582587,0.13161125048190522,LOG_HLM,fus_GR_late_rf
1,116,0.025387314472981513,0.26970202051985837,LOG_HLM,fus_GR_late_rf
2,116,0.03870371229512545,0.312772574230277,LOG_HLM,fus_GR_late_rf
3,116,0.04893875297535673,0.38740891512367076,LOG_HLM,fus_GR_late_rf
4,116,0.0575238200760446,0.4293527240288437,LOG_HLM,fus_GR_late_rf
5,116,0.0679606553882078,0.4055262286749278,LOG_HLM,fus_GR_late_rf
6,116,0.08100330769546836,0.4137006562115418,LOG_HLM,fus_GR_late_rf
7,116,0.10943839001457555,0.44787232593168425,LOG_HLM,fus_GR_late_rf
0,117,0.022465639063360455,0.3272127017702575,LOG_HLM,lgbm
1,116,0.032528421221488635,0.32588970067715267,LOG_HLM,lgbm
2,116,0.039875380891104935,0.37320324482781525,LOG_HLM,lgbm
3,116,0.04642485472131752,0.4282024522155632,LOG_HLM,lgbm
4,116,0.054347955818556164,0.37681344160970714,LOG_HLM,lgbm
5,116,0.06162027242124727,0.3827030246002489,LOG_HLM,lgbm
6,116,0.07108324812430468,0.43701040210746334,LOG_HLM,lgbm
7,116,0.09021713498978834,0.4052725882930261,LOG_HLM,lgbm
0,117,0.02356933281808947,0.2952692006580132,LOG_HLM,uni_G_attfp
1,116,0.03458886750479874,0.284856355899127,LOG_HLM,uni_G_attfp
2,116,0.04244557000490036,0.29227498830449095,LOG_HLM,uni_G_attfp
3,116,0.04987767689600073,0.3149692375101647,LOG_HLM,uni_G_attfp
4,116,0.05763865888481607,0.37661523618604176,LOG_HLM,uni_G_attfp
5,116,0.06769013500207574,0.3659849859335794,LOG_HLM,uni_G_attfp
6,116,0.0826030624519497,0.3620876791916841,LOG_HLM,uni_G_attfp
7,116,0.11880821048781788,0.40557435202782655,LOG_HLM,uni_G_attfp
0,117,0.010473494053797341,0.15484570969710973,LOG_HLM,uni_G_lgbm
1,116,0.024832949361501037,0.283438269953694,LOG_HLM,uni_G_lgbm
2,116,0.037555805080748815,0.34078449883281314,LOG_HLM,uni_G_lgbm
3,116,0.04750642388452651,0.3450656488236472,LOG_HLM,uni_G_lgbm
4,116,0.058482921211159056,0.3299899055746858,LOG_HLM,uni_G_lgbm
5,116,0.07110832504973423,0.40986982704591424,LOG_HLM,uni_G_lgbm
6,116,0.08734586463611002,0.39451615368157666,LOG_HLM,uni_G_lgbm
7,116,0.1243363163363629,0.43250141248678153,LOG_HLM,uni_G_lgbm
0,117,0.011207998792786186,0.14195867876131868,LOG_HLM,uni_G_rf
1,116,0.02651806683401778,0.28172199792725616,LOG_HLM,uni_G_rf
2,116,0.038720646075600745,0.34464000055521754,LOG_HLM,uni_G_rf
3,116,0.048118047988042215,0.3261817139890826,LOG_HLM,uni_G_rf
4,116,0.05865918062170438,0.3283395941359003,LOG_HLM,uni_G_rf
5,116,0.07049467878634298,0.4402674910967335,LOG_HLM,uni_G_rf
6,116,0.08652985933463868,0.37035167999720753,LOG_HLM,uni_G_rf
7,116,0.12401688125866969,0.42470600168327755,LOG_HLM,uni_G_rf
0,117,0.02305162698684637,0.34502450563915055,LOG_HLM,uni_M_lgbm
1,116,0.034089140445472205,0.36883790267370764,LOG_HLM,uni_M_lgbm
2,116,0.0412801254517008,0.34471133641452034,LOG_HLM,uni_M_lgbm
3,116,0.04742608301033592,0.4097331532112759,LOG_HLM,uni_M_lgbm
4,116,0.05544838841590391,0.4098206444388963,LOG_HLM,uni_M_lgbm
5,116,0.06340603549647321,0.3729240812223773,LOG_HLM,uni_M_lgbm
6,116,0.07380688874690165,0.43957150653790045,LOG_HLM,uni_M_lgbm
7,116,0.09749252153372713,0.4324567029752291,LOG_HLM,uni_M_lgbm
0,117,0.01047445483696578,0.3352713219099379,LOG_HLM,uni_M_rf
1,116,0.01612812637673321,0.423720838251486,LOG_HLM,uni_M_rf
2,116,0.020082724377375474,0.37301504747332676,LOG_HLM,uni_M_rf
3,116,0.024078332241420274,0.4251680293311884,LOG_HLM,uni_M_rf
4,116,0.028011656088632462,0.43599690911209055,LOG_HLM,uni_M_rf
5,116,0.03273214432072073,0.42629853144690916,LOG_HLM,uni_M_rf
6,116,0.03892981309255884,0.47548125457172163,LOG_HLM,uni_M_rf
7,116,0.055229099107446646,0.44161081344599584,LOG_HLM,uni_M_rf
0,117,0.016218268906836704,0.24712511124524814,LOG_HLM,uni_R_lgbm
1,116,0.025211541678425604,0.2872483856470833,LOG_HLM,uni_R_lgbm
2,116,0.0318167313428665,0.32936454827549255,LOG_HLM,uni_R_lgbm
3,116,0.03690784455392356,0.3502415551464163,LOG_HLM,uni_R_lgbm
4,116,0.04233645894492967,0.4078517952628896,LOG_HLM,uni_R_lgbm
5,116,0.04893799185781416,0.41163860821925935,LOG_HLM,uni_R_lgbm
6,116,0.05699736780667522,0.38794120810477106,LOG_HLM,uni_R_lgbm
7,116,0.07740282359536016,0.4471165381266818,LOG_HLM,uni_R_lgbm
0,117,0.009870255718367856,0.27702682615046154,LOG_HLM,uni_R_rf
1,116,0.016581166531759638,0.30325536074773873,LOG_HLM,uni_R_rf
2,116,0.02075599498232917,0.3728643489516956,LOG_HLM,uni_R_rf
3,116,0.02475519637374778,0.3635718215005432,LOG_HLM,uni_R_rf
4,116,0.028673638460852472,0.4780100492273001,LOG_HLM,uni_R_rf
5,116,0.03301666110152451,0.4407182855009545,LOG_HLM,uni_R_rf
6,116,0.03956550811042403,0.4115367468612114,LOG_HLM,uni_R_rf
7,116,0.05687475360853687,0.42209915345813703,LOG_HLM,uni_R_rf
0,117,0.012336679593916756,0.2141051792447405,LOG_HLM,uni_S_lgbm
1,116,0.02555668705619761,0.3316475648074594,LOG_HLM,uni_S_lgbm
2,116,0.03852396270295322,0.39398912715306733,LOG_HLM,uni_S_lgbm
3,116,0.05202822099615994,0.4132581455198834,LOG_HLM,uni_S_lgbm
4,116,0.06613504667240765,0.42100373678559905,LOG_HLM,uni_S_lgbm
5,116,0.07966936796761552,0.4600606470235386,LOG_HLM,uni_S_lgbm
6,116,0.09626221961485107,0.4258778175875958,LOG_HLM,uni_S_lgbm
7,116,0.13739964685057135,0.4686317225381899,LOG_HLM,uni_S_lgbm
0,117,0.013093305044251222,0.2346422533465915,LOG_HLM,uni_S_rf
1,116,0.02563717883589883,0.3236989753103955,LOG_HLM,uni_S_rf
2,116,0.036607311446937546,0.3410805265659691,LOG_HLM,uni_S_rf
3,116,0.047223787447274485,0.4405519496627553,LOG_HLM,uni_S_rf
4,116,0.059465602360860584,0.43668969786845147,LOG_HLM,uni_S_rf
5,116,0.07220927163533075,0.454487748889023,LOG_HLM,uni_S_rf
6,116,0.09129477774051194,0.4443338483344006,LOG_HLM,uni_S_rf
7,116,0.12943760598521087,0.44710729024044793,LOG_HLM,uni_S_rf
0,9,0.02746020228165879,0.6175569344311111,LOG_HPPB,chemeleon
1,8,0.039311188539601666,0.318778829015,LOG_HPPB,chemeleon
2,8,0.04672811947891185,0.5990363766,LOG_HPPB,chemeleon
3,8,0.05689894253212946,0.76282466094,LOG_HPPB,chemeleon
4,8,0.06871771091685913,0.34811992428000005,LOG_HPPB,chemeleon
5,8,0.07967660525025413,0.415312693105,LOG_HPPB,chemeleon
6,8,0.10000384259803383,0.644377344617,LOG_HPPB,chemeleon
7,9,0.12280011039765294,0.5870964569253333,LOG_HPPB,chemeleon
0,9,0.03052011277502642,0.5700415055777778,LOG_HPPB,chemprop
1,8,0.041767705860669746,0.7352653304955,LOG_HPPB,chemprop
2,8,0.04580116340397079,0.44965510770500006,LOG_HPPB,chemprop
3,8,0.049559249287758206,0.31558639245000003,LOG_HPPB,chemprop
4,8,0.05464296037423215,0.49116117129500003,LOG_HPPB,chemprop
5,8,0.06249801373680114,0.620251565195,LOG_HPPB,chemprop
6,8,0.07368201957511106,0.7588988573,LOG_HPPB,chemprop
7,9,0.10677334138162667,0.61970561444,LOG_HPPB,chemprop
0,9,0.035697785155240316,0.5916840292000001,LOG_HPPB,chemprop_st
1,8,0.04614427197024184,0.6767038185,LOG_HPPB,chemprop_st
2,8,0.054388731554349624,0.7102729072,LOG_HPPB,chemprop_st
3,8,0.061248174943846906,0.6912418275775,LOG_HPPB,chemprop_st
4,8,0.06838844072276273,0.3344356248169,LOG_HPPB,chemprop_st
5,8,0.08075256601217065,0.625290492158,LOG_HPPB,chemprop_st
6,8,0.09493650349146915,0.9542641022695,LOG_HPPB,chemprop_st
7,9,0.11654361453371781,0.5725313116622223,LOG_HPPB,chemprop_st
0,9,0.06676688702961402,0.30179275523009824,LOG_HPPB,fus_GRMS_early_attfp
1,8,0.09252667345621851,0.7216866320261781,LOG_HPPB,fus_GRMS_early_attfp
2,8,0.1118199492604354,0.3905493397591325,LOG_HPPB,fus_GRMS_early_attfp
3,8,0.13361600818287384,0.4333015806157348,LOG_HPPB,fus_GRMS_early_attfp
4,8,0.15095422252127833,0.22926668528847166,LOG_HPPB,fus_GRMS_early_attfp
5,8,0.1647244263031344,0.5327389059909042,LOG_HPPB,fus_GRMS_early_attfp
6,8,0.18692446647761052,0.7905017647305623,LOG_HPPB,fus_GRMS_early_attfp
7,9,0.2578553289686889,0.7994331774261838,LOG_HPPB,fus_GRMS_early_attfp
0,9,0.05597812903410241,0.28809949537361956,LOG_HPPB,fus_GRMS_early_lgbm
1,8,0.08855686889414781,0.6744977081693544,LOG_HPPB,fus_GRMS_early_lgbm
2,8,0.10091249127928911,0.4996768684599584,LOG_HPPB,fus_GRMS_early_lgbm
3,8,0.11139535296210117,0.6553394229049865,LOG_HPPB,fus_GRMS_early_lgbm
4,8,0.13112938843630598,0.509509175109834,LOG_HPPB,fus_GRMS_early_lgbm
5,8,0.15073106070656067,0.7148740013623995,LOG_HPPB,fus_GRMS_early_lgbm
6,8,0.17424324054238727,0.4461264625388929,LOG_HPPB,fus_GRMS_early_lgbm
