endpoint,method,label,n_folds,r2_mean,r2_sd,spearman_mean,spearman_sd,mae_mean,mae_sd
LOG_HPPB,fus_GRMS_late_lgbm,LGBM | Late | GNN + RDKit + Mol2Vec + SMILES,25,0.1670662834529639,0.0744702035537432,0.5622373163307407,0.03995855015822511,0.5330247580737069,0.028057749309670386
LOG_HPPB,fus_GRMS_late_rf,RF | Late | GNN + RDKit + Mol2Vec + SMILES,25,0.16605161072271912,0.07857731402225435,0.5694677067809366,0.04089569957596652,0.5264043439081333,0.028089441885424737
LOG_HPPB,fus_GRM_early_attfp,AttentiveFP | Early | GNN + RDKit + Mol2Vec,25,0.05269611868388229,0.199320314867578,0.4749992172184126,0.11369998240490202,0.5947692055476219,0.06660942895658956
LOG_HPPB,fus_GRM_early_lgbm,LGBM | Early | GNN + RDKit + Mol2Vec,25,0.025752380799856374,0.11550502694699737,0.4594591627118143,0.06014822160248822,0.6050901193055417,0.03826152225658771
LOG_HPPB,fus_GRM_early_rf,RF | Early | GNN + RDKit + Mol2Vec,25,0.0474934921613999,0.08933266123011387,0.4193383905425074,0.0665044901905947,0.5972560665464506,0.027344714094473695
LOG_HPPB,fus_GRM_late_attfp,AttentiveFP | Late | GNN + RDKit + Mol2Vec,25,0.019897893563726645,0.10266298499561789,0.3159686459690525,0.24678944640624925,0.6143264377942456,0.04404995225450905
LOG_HPPB,fus_GRM_late_lgbm,LGBM | Late | GNN + RDKit + Mol2Vec,25,0.15689465495079014,0.07373955374670516,0.5647367795890612,0.044619814528828884,0.535250520515117,0.028161358809702688
LOG_HPPB,fus_GRM_late_rf,RF | Late | GNN + RDKit + Mol2Vec,25,0.16496754723733428,0.07877017008784734,0.5702495564490252,0.04325695155800388,0.527180065884603,0.028122908303725196
LOG_HPPB,fus_GRS_early_attfp,AttentiveFP | Early | GNN + RDKit + SMILES,25,0.10822576501766278,0.19694915375341465,0.5007629763656164,0.14588317980647722,0.5746431622273761,0.07234839916131278
LOG_HPPB,fus_GRS_early_lgbm,LGBM | Early | GNN + RDKit + SMILES,25,0.02799471227938834,0.1596760379646707,0.47677337471969977,0.06617854048053803,0.5939706798274937,0.04793438468870581
LOG_HPPB,fus_GRS_early_rf,RF | Early | GNN + RDKit + SMILES,25,0.0483386586389522,0.10904402549170014,0.443317731544375,0.06404972169416726,0.5921026497468422,0.036418714335613646
LOG_HPPB,fus_GRS_late_attfp,AttentiveFP | Late | GNN + RDKit + SMILES,25,0.013386743933050862,0.11305118564961178,0.2877733824745254,0.27920002846183084,0.6159657794971775,0.048308591884776875
LOG_HPPB,fus_GRS_late_lgbm,LGBM | Late | GNN + RDKit + SMILES,25,0.11760352214770146,0.09098926785150732,0.5696782037563232,0.041714529861032364,0.5544942597529865,0.033401977994574436
LOG_HPPB,fus_GRS_late_rf,RF | Late | GNN + RDKit + SMILES,25,0.15509098042992644,0.08281296530961568,0.5689918186555917,0.04104060902607691,0.5318883151918393,0.029519924048188165
LOG_HPPB,fus_GR_early_attfp,AttentiveFP | Early | GNN + RDKit,25,0.18267051796965716,0.15279868237428296,0.5063465854214373,0.1504814195251716,0.5602985979833501,0.05756749480200204
LOG_HPPB,fus_GR_early_lgbm,LGBM | Early | GNN + RDKit,25,0.13047538869673375,0.1216272963273988,0.4820020848579044,0.06277593380547339,0.5672750240091791,0.039890543148100505
LOG_HPPB,fus_GR_early_rf,RF | Early | GNN + RDKit,25,0.03752262599108608,0.09547914749207084,0.42015464777668876,0.06026236202146618,0.6024437676488165,0.029235369237962914
LOG_HPPB,fus_GR_late_attfp,AttentiveFP | Late | GNN + RDKit,25,0.014925896932324316,0.11443478632734694,0.2972530764495119,0.26309840840787113,0.6145715711104689,0.04601950012903667
LOG_HPPB,fus_GR_late_lgbm,LGBM | Late | GNN + RDKit,25,0.10240477053888078,0.09127691337685694,0.5750319002547895,0.0463334372035534,0.5578546328831104,0.03555268371222867
LOG_HPPB,fus_GR_late_rf,RF | Late | GNN + RDKit,25,0.15084971384621254,0.08265175912843163,0.5709739632629083,0.04386484453953245,0.5339223812498666,0.029870914047579154
LOG_HPPB,lgbm,LightGBM + Morgan,25,0.12867518292136132,0.09352960943779622,0.43376706862747694,0.05842793133584988,0.5756141314590982,0.03345523039253257
LOG_HPPB,uni_G_attfp,AttentiveFP,25,-0.03444002727623677,0.10446874095988742,0.2541656838222549,0.26226301530755114,0.6342319007097154,0.04015098108438797
LOG_HPPB,uni_G_lgbm,LGBM - GNN,25,-0.12673605786153183,0.17355855374461188,0.34766425747166024,0.11604286140224776,0.6592729988673875,0.06036832071039969
LOG_HPPB,uni_G_rf,RF - GNN,25,-0.027827462811356438,0.0938955987617502,0.3659967382085963,0.09098344551841482,0.6275645598835398,0.03319432298342843
LOG_HPPB,uni_M_lgbm,LGBM - Mol2Vec,25,0.09658926120291887,0.04684709884135761,0.35860961993753643,0.03707114294782613,0.6035914227549624,0.016991613053970983
LOG_HPPB,uni_M_rf,RF - Mol2Vec,25,0.1665544857637081,0.032349780032743115,0.4074778724114897,0.02397818953773436,0.5708106803012185,0.01029268396378348
LOG_HPPB,uni_R_lgbm,LGBM - RDKit,25,0.22926627634980457,0.06571706488032333,0.5698287692739326,0.043337176556785005,0.5125784532791466,0.027429105862489242
LOG_HPPB,uni_R_rf,RF - RDKit,25,0.3485014367595627,0.04317264642926645,0.6001321749119289,0.031892806845051254,0.493127656650101,0.0192095301854102
LOG_HPPB,uni_S_lgbm,LGBM - SMILES,25,-0.12730071290051426,0.12063063302433127,0.2855624246779909,0.12292305651602066,0.6728297251340182,0.04768362910540248
LOG_HPPB,uni_S_rf,RF - SMILES,25,-0.2069672845505076,0.17658754647872069,0.19596060170978638,0.1613662101893623,0.7025730858323892,0.07288288292002315
LOG_MDR1_ER,chemeleon,ChemProp + CheMeleon,25,0.5200344349867766,0.009223566419898783,0.759851797993549,0.005551685315835557,0.33973772729628515,0.003726119214811055
LOG_MDR1_ER,chemprop,ChemProp multi-task,25,0.5234796534821472,0.0107160423716984,0.7542649413376857,0.008534146154987711,0.35520820692075455,0.005473244064434136
LOG_MDR1_ER,chemprop_st,ChemProp single-task,25,0.5234796534821472,0.0107160423716984,0.7542649413376857,0.008534146154987711,0.35520820692075455,0.005473244064434136
LOG_MDR1_ER,fus_GRMS_early_attfp,AttentiveFP | Early | GNN + RDKit + Mol2Vec + SMILES,25,0.4181605430406535,0.03281041230515749,0.679168452501691,0.020597993658305103,0.38507049102809626,0.008406924304968104
