target,split,fold,fold_id,n_test,n_train,mean_max_sim,median_max_sim,frac_novel
262,random,5,tid262_f5,200,720,0.7253948450088501,0.7706625461578369,0.06
262,scaffold,1,tid262_f1,200,720,0.6205940842628479,0.6515151262283325,0.145
262,scaffold,2,tid262_f2,200,720,0.6491725444793701,0.6666666865348816,0.055
262,scaffold,3,tid262_f3,200,720,0.672502875328064,0.7173076868057251,0.065
262,scaffold,4,tid262_f4,200,720,0.646116316318512,0.7022727131843567,0.135
262,scaffold,5,tid262_f5,200,720,0.6454305052757263,0.6818783283233643,0.115
262,butina,1,tid262_f1,200,720,0.40018531680107117,0.33707866072654724,0.56
262,butina,2,tid262_f2,200,720,0.44980359077453613,0.4053165912628174,0.35
262,butina,3,tid262_f3,200,720,0.413614958524704,0.36643192172050476,0.41
262,butina,4,tid262_f4,200,720,0.2986939549446106,0.2777777910232544,0.895
262,butina,5,tid262_f5,200,720,0.4546470642089844,0.42362910509109497,0.385
262,diverse_25,1,tid262_f1,50,180,0.3852190673351288,0.41047534346580505,0.36
262,diverse_25,2,tid262_f2,50,180,0.39336761832237244,0.4000000059604645,0.3
262,diverse_25,3,tid262_f3,50,180,0.39521485567092896,0.4333333373069763,0.3
262,diverse_25,4,tid262_f4,50,180,0.37165534496307373,0.4000000059604645,0.36
262,diverse_25,5,tid262_f5,50,180,0.4036327004432678,0.4232409596443176,0.28
262,umap,1,tid262_f1,163,754,0.31957128643989563,0.30985915660858154,0.8282208588957055
262,umap,2,tid262_f2,382,557,0.26186853647232056,0.24712491035461426,0.9397905759162304
262,umap,3,tid262_f3,165,752,0.31586986780166626,0.2916666567325592,0.7212121212121212
262,umap,4,tid262_f4,154,762,0.34274882078170776,0.28947368264198303,0.6428571428571429
262,umap,5,tid262_f5,136,778,0.3869805634021759,0.39151501655578613,0.35294117647058826
262,time,1,tid262_f1,748,206,0.335572212934494,0.2857142984867096,0.6818181818181818
262,time,2,tid262_f2,636,306,0.3675723671913147,0.3071795105934143,0.5990566037735849
262,time,3,tid262_f3,461,464,0.39235711097717285,0.3442623019218445,0.5054229934924078
262,time,4,tid262_f4,350,564,0.4249315559864044,0.41277891397476196,0.4228571428571429
262,time,5,tid262_f5,176,720,0.4522697329521179,0.46092796325683594,0.3352272727272727
279,random,1,tid279_f1,455,1637,0.7533670663833618,0.7808219194412231,0.01098901098901099
279,random,2,tid279_f2,455,1637,0.7612749934196472,0.7777777910232544,0.017582417582417582
279,random,3,tid279_f3,455,1637,0.7636072039604187,0.7887324094772339,0.013186813186813187
279,random,4,tid279_f4,454,1638,0.7543743848800659,0.782608687877655,0.019823788546255508
279,random,5,tid279_f5,454,1638,0.758800745010376,0.7850140333175659,0.028634361233480177
279,scaffold,1,tid279_f1,455,1637,0.6405009031295776,0.6538461446762085,0.05054945054945055
279,scaffold,2,tid279_f2,455,1637,0.6671773791313171,0.699999988079071,0.041758241758241756
279,scaffold,3,tid279_f3,455,1637,0.6804066300392151,0.7076923251152039,0.026373626373626374
279,scaffold,4,tid279_f4,454,1638,0.6768236756324768,0.703125,0.01762114537444934
279,scaffold,5,tid279_f5,454,1638,0.6641750335693359,0.7007462978363037,0.05726872246696035
279,butina,1,tid279_f1,455,1637,0.4701499938964844,0.43661972880363464,0.24395604395604395
279,butina,2,tid279_f2,455,1637,0.5471425652503967,0.5600000023841858,0.23296703296703297
279,butina,3,tid279_f3,455,1637,0.46499332785606384,0.4177215099334717,0.35824175824175825
279,butina,4,tid279_f4,454,1638,0.4965050518512726,0.47530487179756165,0.29955947136563876
279,butina,5,tid279_f5,454,1638,0.48671790957450867,0.41287094354629517,0.35462555066079293
279,diverse_25,1,tid279_f1,114,409,0.4648495316505432,0.4864864945411682,0.13157894736842105
279,diverse_25,2,tid279_f2,114,409,0.45136967301368713,0.4801773726940155,0.13157894736842105
279,diverse_25,3,tid279_f3,114,409,0.45744186639785767,0.4843597412109375,0.15789473684210525
279,diverse_25,4,tid279_f4,113,410,0.4564571976661682,0.4852941036224365,0.18584070796460178
279,diverse_25,5,tid279_f5,113,410,0.4431697130203247,0.47826087474823,0.20353982300884957
279,umap,1,tid279_f1,547,1554,0.4256085157394409,0.4124999940395355,0.25411334552102377
279,umap,2,tid279_f2,418,1670,0.3849707841873169,0.3762376308441162,0.4019138755980861
279,umap,3,tid279_f3,602,1504,0.33244672417640686,0.30666667222976685,0.6744186046511628
279,umap,4,tid279_f4,382,1702,0.39741843938827515,0.3692307770252228,0.4581151832460733
279,umap,5,tid279_f5,324,1755,0.44706061482429504,0.4268977642059326,0.1882716049382716
279,time,1,tid279_f1,1554,598,0.378553181886673,0.348070353269577,0.5032175032175032
279,time,2,tid279_f2,1204,913,0.3949383497238159,0.35085660219192505,0.49750830564784054
279,time,3,tid279_f3,1073,1031,0.4073696732521057,0.3636363744735718,0.4473438956197577
279,time,4,tid279_f4,709,1359,0.42817428708076477,0.3857142925262451,0.3723554301833568
279,time,5,tid279_f5,199,1818,0.44650083780288696,0.4084506928920746,0.3065326633165829
284,random,1,tid284_f1,264,947,0.7487630248069763,0.7730616331100464,0.026515151515151516
284,random,2,tid284_f2,263,948,0.7617204785346985,0.782608687877655,0.011406844106463879
284,random,3,tid284_f3,263,948,0.7579556703567505,0.7761194109916687,0.015209125475285171
284,random,4,tid284_f4,263,948,0.7547892332077026,0.78125,0.0076045627376425855
284,random,5,tid284_f5,263,948,0.7528101801872253,0.7681159377098083,0.0076045627376425855
284,scaffold,1,tid284_f1,264,947,0.6899633407592773,0.699999988079071,0.026515151515151516
284,scaffold,2,tid284_f2,263,948,0.6705135703086853,0.6935483813285828,0.04182509505703422
284,scaffold,3,tid284_f3,263,948,0.6776211857795715,0.694915235042572,0.019011406844106463
284,scaffold,4,tid284_f4,263,948,0.692500114440918,0.7021276354789734,0.019011406844106463
284,scaffold,5,tid284_f5,263,948,0.6747944355010986,0.6800000071525574,0.015209125475285171
284,butina,1,tid284_f1,264,947,0.5165174007415771,0.48806819319725037,0.10606060606060606
284,butina,2,tid284_f2,263,948,0.46963104605674744,0.3888888955116272,0.13688212927756654
284,butina,3,tid284_f3,263,948,0.5067710280418396,0.4838709533214569,0.19771863117870722
284,butina,4,tid284_f4,263,948,0.5113043785095215,0.4794520437717438,0.16730038022813687
284,butina,5,tid284_f5,263,948,0.5180761814117432,0.5161290168762207,0.3726235741444867
284,diverse_25,1,tid284_f1,66,237,0.49003446102142334,0.5184222459793091,0.06060606060606061
284,diverse_25,2,tid284_f2,66,237,0.48915135860443115,0.523809552192688,0.09090909090909091
284,diverse_25,3,tid284_f3,66,237,0.4710274636745453,0.5,0.12121212121212122
284,diverse_25,4,tid284_f4,66,237,0.486635684967041,0.5235326886177063,0.10606060606060606
284,diverse_25,5,tid284_f5,65,238,0.49608296155929565,0.529411792755127,0.1076923076923077
284,umap,1,tid284_f1,212,994,0.4135717749595642,0.43109896779060364,0.35377358490566035
284,umap,2,tid284_f2,218,989,0.40776327252388,0.42133837938308716,0.3486238532110092
284,umap,3,tid284_f3,300,915,0.3892994225025177,0.40740740299224854,0.3233333333333333
284,umap,4,tid284_f4,349,871,0.3487698435783386,0.3484848439693451,0.5128939828080229
284,umap,5,tid284_f5,237,972,0.44897928833961487,0.45945945382118225,0.2320675105485232
284,time,1,tid284_f1,839,380,0.44423964619636536,0.4545454680919647,0.24076281287246723
284,time,2,tid284_f2,674,529,0.47089844942092896,0.4823431670665741,0.18100890207715134
284,time,3,tid284_f3,491,693,0.45535409450531006,0.4615384638309479,0.2158859470468432
284,time,4,tid284_f4,236,923,0.46608152985572815,0.4802323579788208,0.1906779661016949
284,time,5,tid284_f5,88,1056,0.4882362186908722,0.48440688848495483,0.18181818181818182
1865,random,1,tid1865_f1,207,745,0.7635311484336853,0.78125,0.00966183574879227
1865,random,2,tid1865_f2,207,745,0.7483744025230408,0.7761194109916687,0.00966183574879227
1865,random,3,tid1865_f3,207,745,0.7481195330619812,0.7799999713897705,0.028985507246376812
1865,random,4,tid1865_f4,207,745,0.7459042072296143,0.7777777910232544,0.033816425120772944
1865,random,5,tid1865_f5,206,746,0.7329643964767456,0.757881760597229,0.014563106796116505
1865,scaffold,1,tid1865_f1,207,745,0.6007948517799377,0.5833333134651184,0.04830917874396135
1865,scaffold,2,tid1865_f2,207,745,0.5996050238609314,0.6153846383094788,0.03864734299516908
1865,scaffold,3,tid1865_f3,207,745,0.6316995024681091,0.6428571343421936,0.043478260869565216
1865,scaffold,4,tid1865_f4,207,745,0.6451448202133179,0.6666666865348816,0.024154589371980676
1865,scaffold,5,tid1865_f5,206,746,0.647284209728241,0.6387362480163574,0.014563106796116505
1865,butina,1,tid1865_f1,207,745,0.543736457824707,0.5131579041481018,0.13043478260869565
1865,butina,2,tid1865_f2,207,745,0.5599575638771057,0.5571428537368774,0.13526570048309178
1865,butina,3,tid1865_f3,207,745,0.5047232508659363,0.48076921701431274,0.2318840579710145
1865,butina,4,tid1865_f4,207,745,0.508918821811676,0.49180328845977783,0.3140096618357488
1865,butina,5,tid1865_f5,206,746,0.5561739206314087,0.560261607170105,0.18446601941747573
1865,diverse_25,1,tid1865_f1,52,186,0.3740428686141968,0.38585609197616577,0.3076923076923077
1865,diverse_25,2,tid1865_f2,52,186,0.3868706524372101,0.39568763971328735,0.25
1865,diverse_25,3,tid1865_f3,52,186,0.38702183961868286,0.39307671785354614,0.23076923076923078
1865,diverse_25,4,tid1865_f4,51,187,0.38575753569602966,0.39726027846336365,0.2549019607843137
1865,diverse_25,5,tid1865_f5,51,187,0.38142144680023193,0.4000000059604645,0.29411764705882354
1865,umap,1,tid1865_f1,163,784,0.4003950357437134,0.4117647111415863,0.1656441717791411
1865,umap,2,tid1865_f2,245,711,0.39989858865737915,0.39423078298568726,0.24897959183673468
1865,umap,3,tid1865_f3,220,733,0.3849308490753174,0.3772038221359253,0.3181818181818182
1865,umap,4,tid1865_f4,171,777,0.3881542384624481,0.3733333349227905,0.34502923976608185
1865,umap,5,tid1865_f5,235,720,0.3771042823791504,0.3764705955982208,0.3659574468085106
1865,time,1,tid1865_f1,740,237,0.40511536598205566,0.38461539149284363,0.3027027027027027
1865,time,2,tid1865_f2,596,367,0.41585084795951843,0.3968254029750824,0.2533557046979866
1865,time,3,tid1865_f3,431,515,0.4365807771682739,0.41818180680274963,0.14849187935034802
1865,time,4,tid1865_f4,339,598,0.4410216808319092,0.4166666567325592,0.1710914454277286
1865,time,5,tid1865_f5,125,791,0.40374934673309326,0.3896103799343109,0.336
