split,metric,test,left,right,n_folds,mean_diff,sd_diff,right_wins,p_raw,p_holm
scaffold,r2,t_target,knn,chemeleon,10,0.11330564199447646,0.0273383036938102,1.0,3.6206671058759347e-07,3.620667105875935e-06
scaffold,r2,t_target,knn,monroe35,10,0.15738361112311738,0.0614346607540658,1.0,2.0018197319759365e-05,0.00012010918391855619
scaffold,r2,t_target,knn,median,10,-0.3851466082880037,0.17481336555335678,0.0,6.559139792215966e-05,0.0003279569896107983
scaffold,r2,t_target,lgbm,chemeleon,10,0.028611639172133507,0.038311383137943356,0.8,0.0424865853374302,0.0424865853374302
scaffold,r2,t_target,lgbm,monroe35,10,0.07268960830077446,0.05349984196473617,0.9,0.00200075135927861,0.00600225407783583
scaffold,r2,t_target,lgbm,median,10,-0.46984061111034664,0.17657492617202777,0.0,1.4753600927280131e-05,0.00010327520649096092
scaffold,r2,t_target,chemeleon,monroe35,10,0.04407796912864096,0.044942461789168074,0.9,0.012692733497274275,0.02538546699454855
scaffold,r2,t_target,chemeleon,median,10,-0.49845225028248014,0.16392161000084685,0.0,4.952820027444237e-06,3.9622560219553894e-05
scaffold,r2,t_target,monroe35,median,10,-0.5425302194111211,0.1478417701226631,0.0,1.0238537213445368e-06,9.214683492100832e-06
butina,r2,t,knn,lgbm,50,0.17002718492879962,0.29508806002783217,0.76,0.00016841174644005791,0.0005052352393201737
butina,r2,t,knn,chemeleon,50,0.191844347066792,0.3253850886229588,0.68,0.00012414205776316572,0.0004965682310526629
butina,r2,t,knn,monroe35,50,0.2630013857937061,0.3160181811122758,0.82,3.520288466580039e-07,2.464201926606027e-06
butina,r2,t,knn,median,50,-0.0813550788172883,0.36414145469951126,0.36,0.12058926981598891,0.24117853963197783
butina,r2,t,lgbm,chemeleon,50,0.021817162137992386,0.15228567548220753,0.62,0.3160200116104648,0.3160200116104648
butina,r2,t,lgbm,monroe35,50,0.09297420086490649,0.1222793338077011,0.78,2.1027788542483443e-06,1.2616673125490066e-05
butina,r2,t,lgbm,median,50,-0.2513822637460879,0.2568283937856415,0.16,8.78912717783489e-09,7.910214460051402e-08
butina,r2,t,chemeleon,monroe35,50,0.07115703872691409,0.11782597755912323,0.72,8.933779680797706e-05,0.0004466889840398853
butina,r2,t,chemeleon,median,50,-0.2731994258840803,0.29335632617618373,0.16,2.9142858441803365e-08,2.3314286753442692e-07
butina,r2,t,monroe35,median,50,-0.3443564646109944,0.27827332227149454,0.14,1.393401304769755e-11,1.393401304769755e-10
butina,r2,wilcoxon,knn,lgbm,50,0.17002718492879962,0.29508806002783217,0.76,2.5156639491541455e-06,1.5093983694924873e-05
butina,r2,wilcoxon,knn,chemeleon,50,0.191844347066792,0.3253850886229588,0.68,7.861200783665367e-05,0.0003144480313466147
butina,r2,wilcoxon,knn,monroe35,50,0.2630013857937061,0.3160181811122758,0.82,2.1246773229677274e-09,1.9122095906709546e-08
butina,r2,wilcoxon,knn,median,50,-0.0813550788172883,0.36414145469951126,0.36,0.020665866669398625,0.04133173333879725
butina,r2,wilcoxon,lgbm,chemeleon,50,0.021817162137992386,0.15228567548220753,0.62,0.18768390417341507,0.18768390417341507
butina,r2,wilcoxon,lgbm,monroe35,50,0.09297420086490649,0.1222793338077011,0.78,3.006746544187422e-06,1.5093983694924873e-05
butina,r2,wilcoxon,lgbm,median,50,-0.2513822637460879,0.2568283937856415,0.16,7.546860913976161e-09,6.037488731180929e-08
butina,r2,wilcoxon,chemeleon,monroe35,50,0.07115703872691409,0.11782597755912323,0.72,0.00014253035612021847,0.0004275910683606554
butina,r2,wilcoxon,chemeleon,median,50,-0.2731994258840803,0.29335632617618373,0.16,5.7649630846867694e-08,4.0354741592807386e-07
butina,r2,wilcoxon,monroe35,median,50,-0.3443564646109944,0.27827332227149454,0.14,9.07522945681194e-11,9.07522945681194e-10
butina,r2,t_target,knn,lgbm,10,0.1700271849287996,0.11225185913560945,1.0,0.0009875568749140463,0.00488487837620828
butina,r2,t_target,knn,chemeleon,10,0.191844347066792,0.1264516418432178,1.0,0.0009769756752416561,0.00488487837620828
butina,r2,t_target,knn,monroe35,10,0.2630013857937061,0.11879457750075874,1.0,6.317610428469341e-05,0.0005685849385622406
butina,r2,t_target,knn,median,10,-0.08135507881728829,0.16177373663543093,0.3,0.1462325407351949,0.2924650814703898
butina,r2,t_target,lgbm,chemeleon,10,0.02181716213799239,0.051932063762154396,0.5,0.21671078302321647,0.2924650814703898
butina,r2,t_target,lgbm,monroe35,10,0.09297420086490647,0.05409006732430223,1.0,0.00041336108580808595,0.0024801665148485156
butina,r2,t_target,lgbm,median,10,-0.2513822637460879,0.12673792638790154,0.0,0.00014570388387955043,0.0011656310710364034
butina,r2,t_target,chemeleon,monroe35,10,0.07115703872691409,0.04786583777727794,0.9,0.0011185607403837873,0.00488487837620828
butina,r2,t_target,chemeleon,median,10,-0.2731994258840803,0.15408346123228894,0.1,0.0003313290063395122,0.0023193030443765853
butina,r2,t_target,monroe35,median,10,-0.34435646461099434,0.14439889995503918,0.0,3.5365795026255554e-05,0.00035365795026255555
diverse_25,r2,t,knn,lgbm,50,0.10257040893444495,0.21183684899315108,0.68,0.0012565880118691392,0.0037697640356074177
diverse_25,r2,t,knn,chemeleon,50,0.10092703668322202,0.21600699199310575,0.68,0.0017870001768033052,0.0037697640356074177
diverse_25,r2,t,knn,monroe35,50,0.19096802246624606,0.21962094578749944,0.9,1.381042325314171e-07,9.667296277199196e-07
diverse_25,r2,t,knn,median,50,-0.1344362254485866,0.25233326112734644,0.24,0.0004433706117551784,0.0017734824470207137
diverse_25,r2,t,lgbm,chemeleon,50,-0.0016433722512229354,0.14988476503375248,0.56,0.9385185452195847,0.9385185452195847
diverse_25,r2,t,lgbm,monroe35,50,0.08839761353180106,0.11045061226692741,0.74,7.804935313669585e-07,4.6829611882017515e-06
diverse_25,r2,t,lgbm,median,50,-0.2370066343830316,0.20209182338335935,0.1,6.840713107451618e-11,6.156641796706457e-10
diverse_25,r2,t,chemeleon,monroe35,50,0.09004098578302398,0.1371931369587063,0.74,2.619302995217291e-05,0.00013096514976086455
diverse_25,r2,t,chemeleon,median,50,-0.23536326213180866,0.22205327944436254,0.12,1.1395852983408553e-09,9.116682386726843e-09
diverse_25,r2,t,monroe35,median,50,-0.3254042479148327,0.1890996673145509,0.0,2.0236001774074787e-16,2.0236001774074788e-15
diverse_25,r2,wilcoxon,knn,lgbm,50,0.10257040893444495,0.21183684899315108,0.68,0.002799360749817126,0.008398082249451377
diverse_25,r2,wilcoxon,knn,chemeleon,50,0.10092703668322202,0.21600699199310575,0.68,0.004043947968749961,0.008398082249451377
diverse_25,r2,wilcoxon,knn,monroe35,50,0.19096802246624606,0.21962094578749944,0.9,4.9116266609416925e-12,4.420463994847523e-11
diverse_25,r2,wilcoxon,knn,median,50,-0.1344362254485866,0.25233326112734644,0.24,0.00035222154756553437,0.0014088861902621375
diverse_25,r2,wilcoxon,lgbm,chemeleon,50,-0.0016433722512229354,0.14988476503375248,0.56,0.5272794190915597,0.5272794190915597
diverse_25,r2,wilcoxon,lgbm,monroe35,50,0.08839761353180106,0.11045061226692741,0.74,1.6455253124547653e-06,9.873151874728592e-06
