target,split,fold,method,n,mae,r2,spearman,source
262,butina,1,monroe35,200.0,0.8414811321180824,0.30143301938406875,0.5709255191941474,fitted
262,butina,1,pub_gnn,,1.2318397760391235,-0.565809965133667,0.3455783608993306,published
262,butina,1,pub_knn,,0.7867213867048178,0.3334590480648292,0.600563645438228,published
262,butina,1,pub_mlp,,0.769521951675415,0.3598173260688782,0.5882970608938212,published
262,butina,1,pub_rf,,0.8202794241988459,0.2930551576565485,0.5973253350795544,published
262,butina,1,pub_svm,,0.7774808150073134,0.3670563064432436,0.5918289283285127,published
262,butina,1,pub_xgboost,,0.7622811046475647,0.3638355893115121,0.5747576842397532,published
262,butina,2,chemeleon,200.0,0.8731650463730969,0.09879661978873833,0.6110682546317834,fitted
262,butina,2,knn,200.0,0.8090765100839586,0.14890671213169582,0.4372155419835908,fitted
262,butina,2,lgbm,200.0,0.8920084706429152,0.03478360388571655,0.5163816543434395,fitted
262,butina,2,median,200.0,0.9673957007770423,-0.1313191145864998,,fitted
262,butina,2,monroe35,200.0,0.9069731108372372,0.05742248935489991,0.46895939309180634,fitted
262,butina,2,pub_gnn,,0.9833396673202516,-0.1963275671005249,0.2279497663812982,published
262,butina,2,pub_knn,,0.8090765118251145,0.1489067111023881,0.4372155419835908,published
262,butina,2,pub_mlp,,0.9716605544090272,-0.1727739572525024,0.5149216708952553,published
262,butina,2,pub_rf,,0.808706176395516,0.172707476346671,0.562850578252069,published
262,butina,2,pub_svm,,0.8635470964586304,0.119356099343676,0.6289006793576601,published
262,butina,2,pub_xgboost,,0.8184652144792994,0.1481199313973189,0.5506714658803241,published
262,butina,3,chemeleon,200.0,0.9213538352402696,-0.3051865788323085,0.33130527374926155,fitted
262,butina,3,knn,200.0,0.8618727772546859,-0.06926980009310735,0.23199346578659655,fitted
262,butina,3,lgbm,200.0,0.9882582198249955,-0.40939840960758,0.4337943769034023,fitted
262,butina,3,median,200.0,0.90073313670753,-0.10456645676838705,,fitted
