endpoint,repeat,fold,fusion,modality,mean_abs_shap
LOG_MDR1_ER,4,3,early,rdkit,0.05652870033235838
LOG_MDR1_ER,4,3,early,mol2vec,0.11092378848046734
LOG_MDR1_ER,4,3,early,gnn,0.47107150447833024
LOG_MDR1_ER,4,3,early,smiles,0.39290611769973505
LOG_HPPB,1,2,early,rdkit,0.2857204220088181
LOG_HPPB,1,2,early,mol2vec,0.8133147591177825
LOG_HPPB,1,2,early,gnn,0.8050839065362272
LOG_HPPB,1,2,early,smiles,0.23652826451357684
LOG_HPPB,1,4,early,rdkit,0.4743221824734695
LOG_HPPB,1,4,early,mol2vec,1.0459214308701554
LOG_HPPB,1,4,early,gnn,0.41653540958229834
LOG_HPPB,1,4,early,smiles,0.22589268449564187
LOG_HPPB,2,1,early,rdkit,0.048247762691891405
LOG_HPPB,2,1,early,mol2vec,0.25587772577289414
LOG_HPPB,2,1,early,gnn,0.1825998847593708
LOG_HPPB,2,1,early,smiles,1.0978736248676741
LOG_MDR1_ER,4,4,early,rdkit,0.048473107571577245
LOG_MDR1_ER,4,4,early,mol2vec,0.14757326510483998
LOG_MDR1_ER,4,4,early,gnn,0.7199367655822436
LOG_MDR1_ER,4,4,early,smiles,0.08050526274187511
LOG_HPPB,2,2,early,rdkit,0.1961904422388367
LOG_HPPB,2,2,early,mol2vec,0.8028575882531372
LOG_HPPB,2,2,early,gnn,0.8438858625106326
LOG_HPPB,2,2,early,smiles,0.32016101092025406
LOG_HPPB,2,3,early,rdkit,0.49846655205830637
LOG_HPPB,2,3,early,mol2vec,0.7941489117528129
LOG_HPPB,2,3,early,gnn,0.279598043507964
LOG_HPPB,2,3,early,smiles,0.5138308366484541
LOG_HPPB,3,4,early,rdkit,0.07863079632585587
LOG_HPPB,3,4,early,mol2vec,0.40400655966176574
LOG_HPPB,3,4,early,gnn,1.213199494452255
LOG_HPPB,3,4,early,smiles,0.1303926430407232
LOG_HPPB,1,3,early,rdkit,0.1402579896980251
LOG_HPPB,1,3,early,mol2vec,0.4009780902356296
LOG_HPPB,1,3,early,gnn,1.1237952585673405
LOG_HPPB,1,3,early,smiles,0.09317698703788069
LOG_HPPB,2,0,early,rdkit,0.53231148102554
LOG_HPPB,2,0,early,mol2vec,0.880622021128501
LOG_HPPB,2,0,early,gnn,0.3771275686661533
LOG_HPPB,2,0,early,smiles,0.3487778599537141
LOG_RPPB,0,1,early,rdkit,0.253180781937991
LOG_RPPB,0,1,early,mol2vec,0.6105576392189407
LOG_RPPB,0,1,early,gnn,0.6557163506946805
LOG_RPPB,0,1,early,smiles,0.17881109257123973
LOG_RPPB,0,3,early,rdkit,0.2722057066771021
LOG_RPPB,0,3,early,mol2vec,0.8174129211822461
LOG_RPPB,0,3,early,gnn,0.2933307064283521
LOG_RPPB,0,3,early,smiles,0.27633213643095184
