endpoint,method,repeat,n_folds,n,sigma,err_unc_corr,ece,miscalibration_area
LOG_HLM,uni_M_rf,1,5,929,0.06055712298343616,0.10910242561307253,0.35720071727167074,0.35665173204168976
LOG_HLM,uni_M_rf,2,5,929,0.0653410049829031,0.08461819377164163,0.3510055946412326,0.35008417529391267
LOG_HLM,uni_M_rf,3,5,929,0.06383051162701193,0.06329257399373031,0.353258123203381,0.3528898493227005
LOG_HLM,uni_M_rf,4,5,929,0.06186301129171102,0.08946577808930552,0.355107601861306,0.35464956341924814
LOG_HLM,uni_R_lgbm,0,5,929,0.09851296748723333,0.17233673135065328,0.26097207287302265,0.26306467112445386
LOG_HLM,uni_R_lgbm,1,5,929,0.0967835720049108,0.18634555111961992,0.26129927357263827,0.2634644993671907
LOG_HLM,uni_R_lgbm,2,5,929,0.09424998144109581,0.14243341548781505,0.2669071233358719,0.2692474081112584
LOG_HLM,uni_R_lgbm,3,5,929,0.09662220799742252,0.2161136179099764,0.2616746976612657,0.26375820179251525
LOG_HLM,uni_R_lgbm,4,5,929,0.0975922081044554,0.14973454392031468,0.2627795663818589,0.2648016069151906
LOG_HLM,uni_R_rf,0,5,929,0.06565761736601847,0.09932796669480037,0.3172578144676856,0.31735214121547894
LOG_HLM,uni_R_rf,1,5,929,0.06263311280325673,0.1532294161356768,0.32135839780680536,0.32133511589582975
LOG_HLM,uni_R_rf,2,5,929,0.06320693549571282,0.14342196192041345,0.3209978185507593,0.3208878934640191
LOG_HLM,uni_R_rf,3,5,929,0.06678088204339705,0.15174975898575707,0.3171513408276566,0.31682151394925423
LOG_HLM,uni_R_rf,4,5,929,0.06840013392679571,0.12693074692925826,0.3153835270964999,0.3152340330375318
LOG_HLM,uni_S_lgbm,0,5,929,0.1508185784048731,0.20415053921464965,0.24363183348353298,0.24462469905863296
LOG_HLM,uni_S_lgbm,1,5,929,0.14530005899613194,0.23874089695314565,0.25071852155820523,0.2519821937859393
LOG_HLM,uni_S_lgbm,2,5,929,0.13579341099627779,0.19572333197707037,0.2582960178998046,0.26001175773638213
LOG_HLM,uni_S_lgbm,3,5,929,0.15352253296004592,0.16188790735166472,0.23529056757444422,0.23666235379216027
LOG_HLM,uni_S_lgbm,4,5,929,0.12191765417766645,0.1206472008151998,0.27317222236626354,0.27431407406531977
LOG_HLM,uni_S_rf,0,5,929,0.142102829315872,0.20106320376048153,0.25083215857296826,0.25200840467993524
LOG_HLM,uni_S_rf,1,5,929,0.13640700659532173,0.2447891116323132,0.2597464242148161,0.26098286047754843
LOG_HLM,uni_S_rf,2,5,929,0.1265145857489038,0.18312725093373197,0.26637014904241224,0.26781666288917505
